,fighter_1,fighter_2,end_round,end_time,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
10,"Wuliji Buren ""Beast Master""","Jonathan Martinez ""Dragon""",3,5:00,"Wuliji Buren ""Beast Master""",http://ufcstats.com/fight-details/8e43d61ca6f2d904,2019-02-09,0,5,12,8,16,1,3,0,1,0,4,9,0,2,1,1,1,6,0,0,4,6,0,7,20,16,31,1,1,0,2,0,4,9,0,2,1,1,1,6,0,0,4,6,0,5,12,8,16,1,3,0,1,0,3,9,1,3,3,8,1,12,2,3,4,5,0,21,35,25,42,0,1,0,0,1,3,9,5,6,2,2,10,17,0,0,0,0,0,10,17,13,20,1,1,0,4,1,6,16,4,6,11,13,16,30,2,2,3,3,0,19,32,22,37,0,0,0,2,0,1,1,0,0,1,1,1,1,0,0,1,1,0,2,2,3,4,1,2,1,2,1,18,30,0,0,1,2,1,4,0,0,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Raphael Assuncao,"Marlon Moraes ""Magic""",1,3:17,Raphael Assuncao,http://ufcstats.com/fight-details/4e8b2357fea211e9,2019-02-02,0,2,12,3,13,0,0,0,0,0,1,10,0,0,1,2,2,12,0,0,0,0,1,10,23,12,25,0,0,1,2,0,1,10,0,0,1,2,2,12,0,0,0,0,0,2,12,3,13,0,0,0,0,0,8,17,0,2,2,4,7,18,0,0,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jose Aldo,"Renato Moicano ""Moicano""",2,0:44,Jose Aldo,http://ufcstats.com/fight-details/300f1489174a3ece,2019-02-02,0,10,27,10,27,0,0,0,0,0,6,19,2,3,2,5,10,27,0,0,0,0,0,20,45,20,45,0,0,0,0,0,6,19,2,3,2,5,10,27,0,0,0,0,0,10,27,10,27,0,0,0,0,0,15,34,1,4,4,7,20,45,0,0,0,0,0,4,8,4,8,0,0,0,0,0,12,17,4,6,0,0,9,16,7,7,0,0,0,16,23,16,23,0,0,0,0,0,2,6,0,0,2,2,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Demian Maia,"Lyman Good ""Cyborg""",1,2:38,Demian Maia,http://ufcstats.com/fight-details/ce246b336b6bd638,2019-02-02,0,0,1,8,9,2,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,8,9,2,4,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Charles Oliveira ""Do Bronx""",David Teymur,2,0:55,"Charles Oliveira ""Do Bronx""",http://ufcstats.com/fight-details/85036b967403cdab,2019-02-02,0,15,38,18,41,1,1,0,0,0,10,24,3,11,2,3,15,36,0,2,0,0,1,22,43,27,49,0,0,0,0,0,10,24,3,11,2,3,15,36,0,2,0,0,0,15,38,18,41,1,1,0,0,0,14,32,4,6,4,5,19,37,0,0,3,6,0,4,10,4,10,0,0,0,0,0,11,18,1,1,1,1,6,9,7,11,0,0,0,13,20,13,20,0,0,1,1,0,2,8,2,2,0,0,4,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Johnny Walker,"Justin Ledet ""El Blanco""",1,0:15,Johnny Walker,http://ufcstats.com/fight-details/44cfd4330eb6e2bf,2019-02-02,1,7,8,7,8,0,0,0,0,0,6,7,0,0,1,1,4,4,0,0,3,4,0,0,4,0,4,0,0,0,0,0,6,7,0,0,1,1,4,4,0,0,3,4,1,7,8,7,8,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Livinha Souza ""The Brazilian Gangsta""","Sarah Frota ""A Treta""",3,5:00,"Livinha Souza ""The Brazilian Gangsta""",http://ufcstats.com/fight-details/53abea410a0541c8,2019-02-02,0,11,16,28,33,1,3,2,1,0,6,10,3,3,2,3,5,9,2,2,4,5,0,4,15,30,47,0,0,0,0,0,6,10,3,3,2,3,5,9,2,2,4,5,0,11,16,28,33,1,3,2,1,0,3,11,1,3,0,1,4,14,0,0,0,1,0,11,32,11,32,0,0,0,0,0,4,26,1,1,0,2,3,17,1,1,1,11,0,5,29,34,58,3,4,1,1,0,8,26,3,4,0,2,7,28,4,4,0,0,0,17,43,37,64,0,0,0,0,0,4,13,2,6,1,1,7,20,0,0,0,0,0,7,20,13,27,0,3,0,0,0,12,35,3,5,2,3,12,38,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Markus Perez ""Maluko""","Anthony Hernandez ""Fluffy""",2,1:07,"Markus Perez ""Maluko""",http://ufcstats.com/fight-details/ebb685a81f65ce1b,2019-02-02,0,15,30,16,31,1,6,0,0,0,9,23,4,5,2,2,11,22,4,8,0,0,0,17,35,21,39,0,0,0,0,0,9,23,4,5,2,2,11,22,4,8,0,0,0,15,30,16,31,1,6,0,0,0,15,32,0,1,2,2,6,19,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,2,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Mara Romero Borella ""Kunoichici""",Taila Santos,3,5:00,"Mara Romero Borella ""Kunoichici""",http://ufcstats.com/fight-details/904e0e46392dff93,2019-02-02,0,11,17,36,42,1,1,0,2,0,9,14,2,2,0,1,1,4,1,1,9,12,0,2,5,8,11,1,1,2,1,0,9,14,2,2,0,1,1,4,1,1,9,12,0,11,17,36,42,1,1,0,2,0,0,3,1,1,1,1,1,4,1,1,0,0,0,9,19,24,36,0,0,0,0,0,2,10,3,4,1,1,3,9,3,6,0,0,0,6,15,35,45,1,2,0,0,0,0,6,6,10,3,3,1,9,8,10,0,0,0,25,76,25,76,0,0,0,0,0,3,40,2,3,7,8,11,49,1,2,0,0,0,12,51,13,53,0,2,0,0,0,17,60,3,9,5,7,25,76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Thiago Alves ""Pitbull""","Max Griffin ""Pain""",3,5:00,"Thiago Alves ""Pitbull""",http://ufcstats.com/fight-details/59097097bc09cdef,2019-02-02,0,29,53,29,53,0,1,0,0,0,11,32,4,5,14,16,28,52,1,1,0,0,1,57,92,57,92,0,1,0,0,0,11,32,4,5,14,16,28,52,1,1,0,0,0,29,53,29,53,0,1,0,0,0,38,69,19,23,0,0,38,66,19,24,0,2,0,44,49,44,49,0,1,0,0,0,30,48,9,11,6,6,33,53,12,12,0,0,0,45,65,47,67,0,0,0,0,0,34,39,10,10,0,0,33,36,11,13,0,0,0,11,13,16,18,2,2,0,2,1,4,10,3,5,2,2,7,15,2,2,0,0,0,9,17,15,23,0,0,0,0,0,5,7,6,6,0,0,5,6,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
