,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
1,Tom,Aaron,,,155,--,,5.0,3.0,0.0,
2,Danny,Abbadi,The Assassin,71.0,155,--,Orthodox,4.0,6.0,0.0,
3,David,Abbott,Tank,72.0,265,--,Switch,10.0,14.0,0.0,
4,Shamil,Abdurakhimov,Abrek,75.0,235,76.0,Orthodox,19.0,4.0,0.0,
5,Hiroyuki,Abe,Abe Ani,66.0,145,--,Orthodox,8.0,14.0,3.0,
6,Daichi,Abe,,71.0,170,71.0,Orthodox,6.0,2.0,0.0,
7,Papy,Abedi,Makambo,71.0,185,74.0,Southpaw,9.0,3.0,0.0,
8,Ricardo,Abreu,Demente,71.0,185,73.0,Orthodox,5.0,3.0,0.0,
9,Daniel,Acacio,,68.0,180,--,Orthodox,26.0,12.0,0.0,
10,Scott,Adams,,72.0,225,--,Southpaw,8.0,1.0,0.0,
11,Juan,Adams,The Kraken,77.0,265,81.0,Orthodox,5.0,0.0,0.0,
12,Anthony,Adams,Sugafoot,72.0,185,77.0,Orthodox,7.0,1.0,0.0,
13,Israel,Adesanya,The Last Stylebender,76.0,185,80.0,Switch,15.0,0.0,0.0,
14,Sam,Adkins,The Experience,75.0,225,--,Orthodox,7.0,20.0,2.0,
15,Nick,Agallar,,68.0,155,--,Orthodox,24.0,6.0,0.0,
16,Marcelo,Aguiar,,70.0,170,--,Orthodox,2.0,3.0,1.0,
17,Edwin,Aguilar,Tigre,70.0,185,--,,22.0,16.0,0.0,
18,Jessica,Aguilar,Jag,63.0,115,63.0,Orthodox,20.0,7.0,0.0,
19,Kevin,Aguilar,The Angel of Death,67.0,145,72.0,Orthodox,16.0,1.0,0.0,
20,Mike,Aina,Iron,69.0,155,--,Orthodox,12.0,6.0,1.0,
21,Hitomi,Akano,Girlfight Monster,64.0,135,--,Southpaw,18.0,8.0,0.0,
22,Omari,Akhmedov,Wolverine,72.0,185,73.0,Orthodox,17.0,4.0,1.0,
23,Yoshihiro,Akiyama,,70.0,170,73.0,Orthodox,14.0,6.0,0.0,
24,Razak,Al-Hassan,,74.0,205,--,Orthodox,11.0,5.0,0.0,
25,Mostapha,Al-Turk,,74.0,245,77.0,Orthodox,6.0,6.0,0.0,
26,Javi,Alanis,,66.0,135,--,,0.0,3.0,0.0,
27,Brett,Albee,,,225,--,,3.0,1.0,0.0,
28,John,Albert,Prince,68.0,135,68.0,,7.0,5.0,0.0,
29,Junior,Albini,Baby,75.0,264,74.0,Orthodox,14.0,4.0,0.0,
30,Wes,Albritton,,70.0,188,--,Orthodox,0.0,1.0,0.0,
31,Alexandra,Albu,Stitch,62.0,115,63.0,Orthodox,7.0,0.0,0.0,
32,Israel,Albuquerque,,,185,--,Orthodox,0.0,3.0,0.0,
33,Juan,Alcain,,,--,--,,1.0,2.0,0.0,
34,Marina,Rodriguez,,67.0,115,67.0,Orthodox,10.0,0.0,1.0,
35,Iuri,Alcantara,Marajo,69.0,135,71.0,Southpaw,35.0,10.0,0.0,
36,Ildemar,Alcantara,Marajo,74.0,185,78.0,Orthodox,21.0,8.0,0.0,
37,Alfonso,Alcarez,,63.0,145,--,,1.0,3.0,1.0,
38,Gilbert,Aldana,El Peligro,73.0,250,--,Orthodox,6.0,2.0,0.0,
39,Irene,Aldana,,69.0,135,68.0,Orthodox,9.0,4.0,0.0,
40,Hector,Aldana,El Charro,71.0,170,72.0,Orthodox,4.0,3.0,0.0,
41,Jose,Aldo,Junior,67.0,145,70.0,Orthodox,27.0,4.0,0.0,
42,JJ,Aldrich,,65.0,115,67.0,Southpaw,7.0,2.0,0.0,
43,Jim,Alers,The Beast,69.0,145,71.0,Orthodox,13.0,3.0,0.0,
44,John,Alessio,The Natural,70.0,155,72.0,Orthodox,34.0,16.0,0.0,
45,Houston,Alexander,The Assassin,72.0,205,72.0,Orthodox,13.0,8.0,1.0,
46,Kenneth,Alexander,The Machine,69.0,155,--,Orthodox,5.0,5.0,0.0,
47,Marcio,Alexandre Junior,Lyoto,72.0,185,75.0,Southpaw,17.0,4.0,0.0,
48,Olaf,Alfonso,,74.0,170,--,Orthodox,8.0,11.0,0.0,
49,Pablo,Alfonso,The Hurricane,68.0,145,--,,6.0,5.0,0.0,
50,Levi,Alford,,,--,--,,1.0,4.0,0.0,
51,Royce,Alger,,70.0,199,--,Orthodox,3.0,2.0,0.0,
52,Sultan,Aliev,,71.0,170,74.0,Orthodox,14.0,3.0,0.0,
53,John,Allan,,73.0,205,--,Orthodox,12.0,4.0,0.0,
54,George,Allen,,74.0,205,--,Open Stance,13.0,19.0,2.0,
55,Arnold,Allen,Almighty,68.0,145,70.0,Southpaw,13.0,1.0,0.0,
56,Benny,Alloway,Blanco,71.0,170,75.0,Orthodox,13.0,6.0,0.0,
57,Ricardo,Almeida,Big Dog,72.0,170,74.0,Orthodox,13.0,5.0,0.0,
58,Magno,Almeida,,72.0,155,--,,9.0,3.0,0.0,
59,Thomas,Almeida,Thominhas,67.0,135,70.0,Southpaw,22.0,3.0,0.0,
60,Ericka,Almeida,,66.0,115,68.0,,7.0,2.0,0.0,
61,Estefani,Almeida,,64.0,125,--,Orthodox,7.0,2.0,0.0,
62,Mauricio,Alonso,,74.0,170,--,,13.0,7.0,0.0,
63,Rico,Altamirano,,70.0,170,--,,3.0,2.0,0.0,
64,Mike,Altman,,70.0,185,--,Orthodox,1.0,4.0,0.0,
65,Sean,Alvarez,,72.0,235,--,Orthodox,4.0,3.0,0.0,
66,Eddie,Alvarez,The Underground King,69.0,155,69.0,Orthodox,29.0,6.0,0.0,
67,Jaime,Alvarez,,68.0,125,69.0,Orthodox,6.0,1.0,0.0,
68,Thiago,Alves,Pitbull,69.0,170,70.0,Orthodox,27.0,13.0,0.0,
69,Anthony,Alves,,,--,--,,1.0,3.0,0.0,
70,Amilcar,Alves,,72.0,170,--,Southpaw,11.0,4.0,0.0,
71,Warlley,Alves,,71.0,170,72.0,Orthodox,13.0,3.0,0.0,
72,Vinicius,Castro,Mamute,76.0,205,--,Orthodox,9.0,1.0,0.0,
73,Sam,Alvey,Smile'N,74.0,205,75.0,Southpaw,33.0,11.0,0.0,
74,Andre,Amado,Dida,72.0,154,--,Orthodox,6.0,4.0,1.0,
75,Adlan,Amagov,Borz,74.0,170,76.0,Orthodox,13.0,2.0,1.0,
76,Maiara,Amanajas dos Santos,,65.0,115,--,Southpaw,7.0,3.0,0.0,
77,Chris,Amarante,,,185,--,,2.0,0.0,0.0,
78,Jimmy,Ambriz,The Titan,74.0,315,--,Southpaw,15.0,18.0,1.0,
79,JJ,Ambrose,,70.0,170,--,Orthodox,17.0,3.0,0.0,
80,Alen,Amedovski,,70.0,185,--,,8.0,0.0,0.0,
81,Makwan,Amirkhani,Mr. Finland,70.0,145,72.0,Southpaw,14.0,3.0,0.0,
82,Bertrand,Amoussou,,68.0,190,--,Orthodox,1.0,1.0,0.0,
83,Karl,Amoussou,The Psycho,71.0,185,--,Orthodox,12.0,4.0,2.0,
84,Eryk,Anders,Ya Boi,73.0,185,75.0,Southpaw,11.0,3.0,0.0,
85,Matt,Andersen,,74.0,230,--,Southpaw,14.0,8.0,1.0,
86,Andy,Anderson,The Hammer,66.0,240,--,,0.0,1.0,0.0,
87,Lowell,Anderson,,66.0,160,--,Orthodox,0.0,1.0,0.0,
88,Corey,Anderson,Overtime,75.0,205,79.0,Orthodox,13.0,4.0,0.0,
89,Derek,Anderson,Barbaric,72.0,155,--,,14.0,3.0,0.0,
90,Megan,Anderson,,72.0,145,73.0,Orthodox,9.0,3.0,0.0,
91,Alex,Andrade,El Toro,71.0,200,--,Orthodox,10.0,5.0,0.0,
92,Jessica,Andrade,Bate Estaca,61.0,115,62.0,Orthodox,19.0,6.0,0.0,
93,Viscardi,Andrade,,71.0,170,75.0,Orthodox,19.0,7.0,0.0,
94,Jermaine,Andre,,67.0,200,--,Orthodox,14.0,4.0,0.0,
95,Dylan,Andrews,The Villain,73.0,185,73.0,Switch,18.0,8.0,0.0,
96,Reese,Andy,Riptide,72.0,205,--,Orthodox,7.0,3.0,0.0,
97,Yoji,Anjo,Mr. 200%,71.0,205,--,Orthodox,0.0,5.0,1.0,
98,Magomed,Ankalaev,,75.0,205,75.0,Orthodox,10.0,1.0,0.0,
99,Nina,Ansaroff,The Strina,65.0,115,64.0,Orthodox,10.0,5.0,0.0,
100,Gadzhimurad,Antigulov,,71.0,205,70.0,Orthodox,20.0,5.0,0.0,
101,Adam,Antolin,Captain Chaos,65.0,125,63.0,Orthodox,12.0,3.0,0.0,
102,Angelo,Antonio,,,205,--,Orthodox,1.0,3.0,0.0,
103,Zu,Anyanwu,8th Wonder,73.0,251,77.0,Orthodox,14.0,5.0,0.0,
104,Shinsho,Anzai,Animal,67.0,170,70.0,Orthodox,10.0,3.0,0.0,
105,Shinya,Aoki,Tobikan Judan,71.0,154,--,Southpaw,30.0,5.0,0.0,
106,Josh,Appelt,The Juggernaut,70.0,255,73.0,Southpaw,15.0,6.0,0.0,
107,Erik,Apple,,72.0,170,--,Orthodox,10.0,3.0,0.0,
108,Kenji,Arai,,70.0,145,--,Southpaw,15.0,15.0,5.0,
109,Romie,Aram,,70.0,170,--,Orthodox,7.0,1.0,0.0,
110,Felipe,Arantes,Sertanejo,68.0,135,73.0,Orthodox,18.0,10.0,1.0,
111,Igor,Araujo,,73.0,170,77.0,Orthodox,25.0,8.0,0.0,
112,Julio,Arce,,67.0,145,70.0,Southpaw,15.0,3.0,0.0,
113,Art,Arciniega,King Arthur,68.0,145,--,,15.0,7.0,0.0,
114,Tristan,Arenal,,,155,--,,4.0,1.0,0.0,
115,Andrei,Arlovski,The Pitbull,75.0,240,77.0,Orthodox,27.0,18.0,0.0,
116,Joey,Armstrong,,,--,--,,5.0,2.0,0.0,
117,Austin,Arnett,Golden Boy,72.0,145,72.0,Orthodox,16.0,5.0,0.0,
118,Ricardo,Arona,The Brazilian Tiger,71.0,205,--,Orthodox,14.0,5.0,0.0,
119,Chalid,Arrab,Die Faust,71.0,205,--,Orthodox,7.0,3.0,0.0,
120,Akbarh,Arreola,El Caballero,70.0,155,71.0,Southpaw,23.0,10.0,1.0,
121,Matt,Arroyo,No Regard,70.0,170,72.0,Orthodox,3.0,3.0,0.0,
122,Antonio,Arroyo,,74.0,185,--,Orthodox,8.0,2.0,0.0,
123,Gilles,Arsene,,69.0,190,--,Southpaw,1.0,1.0,0.0,
124,Veta,Arteaga,,67.0,125,--,,3.0,1.0,0.0,
125,Cesar,Arzamendia,Goku,71.0,155,71.0,,7.0,4.0,0.0,
126,Cyril,Asker,Silverback,72.0,247,74.0,Orthodox,9.0,4.0,0.0,
127,Scott,Askham,,75.0,185,75.0,Southpaw,14.0,4.0,0.0,
128,Ben,Askren,Funky,70.0,170,--,,18.0,0.0,0.0,
129,Bruno,Assis,Brunao,74.0,185,--,Orthodox,8.0,3.0,0.0,
130,Junior,Assuncao,,69.0,145,72.0,Orthodox,13.0,4.0,0.0,
131,Raphael,Assuncao,,65.0,135,66.0,Orthodox,27.0,5.0,0.0,
132,Bazigit,Atajev,Volk,73.0,230,--,Orthodox,17.0,1.0,0.0,
133,Rich,Attonito,The Raging Bull,70.0,170,72.0,Orthodox,10.0,5.0,0.0,
134,Olivier,Aubin-Mercier,The Canadian Gangster,69.0,155,70.0,Southpaw,12.0,4.0,0.0,
135,Pat,Audinwood,Awesomely Awesome,72.0,155,--,Orthodox,9.0,2.0,1.0,
136,Marcus,Aurelio,Maximus,70.0,155,74.0,Orthodox,21.0,10.0,0.0,
137,David,Avellan,,69.0,185,--,Orthodox,2.0,1.0,0.0,
138,Blas,Avena,The Disciple,72.0,170,74.0,Orthodox,7.0,6.0,0.0,
139,Levi,Avera,,73.0,170,--,,16.0,10.0,0.0,
140,Anthony,Avila,,67.0,145,--,,6.0,1.0,0.0,
141,Chris,Avila,,70.0,145,72.0,Orthodox,5.0,4.0,0.0,
142,Saad,Awad,Assassin,71.0,155,--,,9.0,5.0,0.0,
143,Javy,Ayala,Eye Candy,73.0,265,--,,10.0,5.0,0.0,
144,Jessin,Ayari,Abacus,72.0,155,73.0,Orthodox,16.0,5.0,0.0,
145,Abu,Azaitar,Gladiator,69.0,185,76.0,Orthodox,14.0,1.0,1.0,
146,Ottman,Azaitar,Bulldozer,,170,--,,11.0,0.0,0.0,
147,Luiz,Azeredo,,69.0,154,--,Orthodox,15.0,10.0,0.0,
148,Luciano,Azevedo,,75.0,161,--,Orthodox,16.0,9.0,1.0,
150,Niklas,Backstrom,,73.0,145,74.0,Orthodox,8.0,2.0,0.0,
151,Seth,Baczynski,The Polish Pistola,75.0,170,74.0,Orthodox,18.0,11.0,0.0,
152,Ryan,Bader,Darth,74.0,205,74.0,Orthodox,23.0,5.0,0.0,
153,Izabela,Badurek,,65.0,115,--,Orthodox,5.0,3.0,0.0,
154,Ali,Bagautinov,Puncher,64.0,125,65.0,Orthodox,14.0,5.0,0.0,
155,Mehdi,Baghdad,The Sultan,73.0,155,75.0,Orthodox,11.0,4.0,0.0,
156,Siyar,Bahadurzada,The Great,71.0,170,73.0,Orthodox,24.0,7.0,1.0,
157,Shamar,Bailey,,69.0,155,75.0,,12.0,5.0,0.0,
158,Jordan,Bailey,,69.0,145,--,,6.0,3.0,0.0,
159,Scott,Baker,,72.0,210,--,,1.0,1.0,0.0,
160,Bryan,Baker,The Beast,75.0,185,--,Orthodox,16.0,3.0,0.0,
161,Oluwale,Bamgbose,Holy War Angel,71.0,185,78.0,Switch,6.0,4.0,0.0,
162,Stephen,Banaszak,,72.0,145,--,,5.0,5.0,0.0,
163,Marcin,Bandel,Bomba,70.0,155,70.0,Orthodox,13.0,4.0,0.0,
164,Humberto,Bandenay,,71.0,145,--,Southpaw,14.0,6.0,0.0,
165,Tae Hyun,Bang,The Korean Cowboy,69.0,155,71.0,Switch,18.0,10.0,0.0,
166,Yohan,Banks,,,--,--,,2.0,1.0,0.0,
167,Antonio,Banuelos,,65.0,135,63.0,Orthodox,19.0,7.0,1.0,
168,Renan,Barao,The Baron,66.0,135,70.0,Orthodox,36.0,7.0,0.0,
169,Junior,Barata,,70.0,170,--,Orthodox,8.0,3.0,1.0,
170,Maycee,Barber,The Future,65.0,115,65.0,Switch,6.0,0.0,0.0,
171,Bryan,Barberena,Bam Bam,72.0,170,72.0,Southpaw,14.0,5.0,0.0,
172,Edson,Barboza,Junior,71.0,155,75.0,Orthodox,20.0,6.0,0.0,
173,Raoni,Barcelos,,67.0,135,67.0,Orthodox,13.0,1.0,0.0,
174,Luke,Barnatt,The Bigslow,78.0,185,77.0,Orthodox,8.0,3.0,0.0,
175,James,Barnes,,68.0,145,--,,7.0,2.0,0.0,
176,Nick,Barnes,,71.0,170,--,,11.0,2.0,0.0,
177,Josh,Barnett,The Warmaster,75.0,250,78.0,Orthodox,35.0,8.0,0.0,
178,Chris,Barnhizer,,,--,--,,1.0,3.0,0.0,
179,David,Baron,,66.0,155,--,Switch,17.0,3.0,1.0,
180,Phil,Baroni,The New York Bad Ass,69.0,170,72.0,Orthodox,14.0,15.0,0.0,
181,Dan,Barrera,The Fireman,69.0,170,--,Orthodox,3.0,1.0,0.0,
182,Carlos,Barreto,,76.0,230,--,Orthodox,14.0,9.0,0.0,
183,Jose,Barreto,,,185,--,Southpaw,0.0,1.0,0.0,
184,Marc-Andre,Barriault,Power Bar,73.0,185,--,,11.0,1.0,0.0,
185,David,Barrios,,66.0,145,--,,4.0,5.0,0.0,
186,Alexandre,Barros,Baixinho,69.0,170,--,Southpaw,18.0,8.0,0.0,
187,Ricardo,Barros,,73.0,205,--,,2.0,2.0,0.0,
188,Francimar,Barroso,Bodao,73.0,205,75.0,Orthodox,19.0,7.0,0.0,
189,Pat,Barry,HD,71.0,235,74.0,Orthodox,8.0,7.0,0.0,
190,Enrique,Barzola,El Fuerte,67.0,145,70.0,,16.0,3.0,1.0,
191,Stephen,Bass,Bigfish,69.0,145,--,,10.0,1.0,0.0,
192,Sean,Bassett,,,155,--,,0.0,4.0,0.0,
193,Ryan,Bastianelli,Relentless,65.0,135,--,,5.0,2.0,0.0,
194,Shayna,Baszler,The Queen of Spades,67.0,135,67.0,Orthodox,15.0,10.0,0.0,
195,Michel,Batista,El Panda,75.0,260,--,,4.0,2.0,0.0,
196,Mario,Bautista,,69.0,135,72.0,Switch,6.0,0.0,0.0,
197,Chris,Beal,Real Deal,67.0,125,69.0,Orthodox,10.0,3.0,0.0,
198,Rudy,Bears,,71.0,170,--,Southpaw,13.0,11.0,0.0,
199,Salvador,Becerra,,69.0,155,--,,5.0,2.0,0.0,
200,Ariel,Beck,Sunshine,66.0,125,66.0,,4.0,5.0,0.0,
201,Jeff,Bedard,Little Popeye,66.0,145,--,Orthodox,13.0,3.0,0.0,
202,Eric,Bedard,Lucky Strikes,74.0,239,--,,6.0,7.0,0.0,
203,Johnny,Bedford,Brutal,70.0,135,71.0,Orthodox,19.0,13.0,1.0,
204,Chase,Beebe,,67.0,135,67.0,Orthodox,19.0,8.0,1.0,
205,Lyle,Beerbohm,Fancy Pants,70.0,155,--,Southpaw,15.0,2.0,0.0,
206,Mirsad,Bektic,,68.0,145,70.0,Orthodox,13.0,1.0,0.0,
207,Alan,Belcher,The Talent,74.0,185,73.0,Orthodox,17.0,7.0,0.0,
208,Vitor,Belfort,The Phenom,72.0,185,74.0,Southpaw,26.0,14.0,0.0,
209,Joey,Beltran,The Mexicutioner,73.0,185,75.0,Orthodox,15.0,9.0,0.0,
210,Marco,Beltran,Psycho,68.0,125,69.0,Orthodox,8.0,7.0,0.0,
211,Joseph,Benavidez,,64.0,125,65.0,Southpaw,26.0,5.0,0.0,
212,Mike,Bencic,Batman,72.0,215,--,Orthodox,1.0,2.0,0.0,
213,Dave,Beneteau,Dangerous,74.0,250,--,Orthodox,6.0,5.0,1.0,
214,Karla,Benitez,,63.0,113,--,,6.0,2.0,1.0,
215,Gabriel,Benitez,Moggly,68.0,145,71.0,Southpaw,21.0,7.0,0.0,
216,Charles,Bennett,Krazy Horse,68.0,155,--,Orthodox,25.0,23.0,2.0,
217,Josh,Bennett,,76.0,259,--,Orthodox,12.0,13.0,0.0,
218,DeAnna,Bennett,Vitamin D,64.0,125,68.0,,8.0,3.0,1.0,
219,Lance,Benoist,,71.0,170,73.0,Southpaw,7.0,2.0,0.0,
220,Joe,Benoit,,69.0,170,--,Orthodox,11.0,4.0,0.0,
221,Ryan,Benoit,Baby Face,65.0,125,68.0,Orthodox,10.0,5.0,0.0,
222,Pat,Benson,,69.0,155,--,,3.0,6.0,2.0,
223,Len,Bentley,,69.0,155,--,,9.0,4.0,0.0,
224,Steve,Berger,The Red Nosed Pitbull,71.0,170,--,Orthodox,21.0,22.0,2.0,
225,Bret,Bergmark,The Angry Hick,69.0,170,--,,6.0,1.0,1.0,
226,Keith,Berish,Sha Bang Bang,72.0,205,73.0,Orthodox,5.0,1.0,0.0,
227,Dennis,Bermudez,The Menace,66.0,155,66.0,Orthodox,17.0,9.0,0.0,
228,Manny,Bermudez,The Bermudez Triangle,70.0,135,71.0,Orthodox,13.0,0.0,0.0,
229,Dave,Berry,,,--,--,,0.0,1.0,0.0,
230,Keith,Berry,,73.0,185,--,,10.0,9.0,1.0,
231,Dieusel,Berto,,69.0,200,--,,0.0,3.0,0.0,
232,Edson,Berto,Little Tiger,66.0,155,--,Orthodox,16.0,9.0,1.0,
233,Allen,Berube,Monstah Lobstah,68.0,155,--,Orthodox,4.0,3.0,0.0,
234,Anton,Berzin,The Body Snatcher,74.0,205,--,Orthodox,5.0,1.0,0.0,
235,Scott,Bessac,,76.0,245,--,,4.0,6.0,0.0,
236,Matt,Bessette,The Mangler,70.0,145,70.0,Orthodox,22.0,9.0,0.0,
237,Fernando,Bettega,,,170,--,,7.0,5.0,0.0,
238,Arjan,Bhullar,,73.0,245,75.0,Orthodox,8.0,1.0,0.0,
239,Magomed,Bibulatov,Chaborz,65.0,125,65.0,Orthodox,14.0,1.0,0.0,
240,David,Bielkheden,,70.0,155,71.0,Orthodox,16.0,9.0,0.0,
241,Jeremiah,Billington,,69.0,205,--,Orthodox,11.0,2.0,0.0,
242,Scott,Bills,,70.0,170,--,,8.0,9.0,1.0,
243,Anthony,Birchak,El Toro,68.0,135,69.0,Orthodox,13.0,3.0,0.0,
244,Chris,Birchler,The Big Buck,75.0,205,79.0,Switch,7.0,3.0,0.0,
245,Michael,Bisping,The Count,73.0,185,75.0,Orthodox,31.0,9.0,0.0,
246,Amaury,Bitetti,,69.0,185,--,Orthodox,5.0,2.0,0.0,
247,Jan,Blachowicz,,74.0,205,78.0,Orthodox,23.0,7.0,0.0,
248,Jason,Black,The Black Legion,68.0,155,--,Orthodox,23.0,4.0,1.0,
249,Brad,Blackburn,Bad Brad,70.0,170,73.0,Orthodox,18.0,13.0,1.0,
250,Jason,Blackford,,,--,--,,2.0,3.0,0.0,
251,Tom,Blackledge,,,205,--,,10.0,7.0,0.0,
252,Maximo,Blanco,Maxi,68.0,145,71.0,Orthodox,12.0,8.0,1.0,
253,David,Blanco,,67.0,145,--,,2.0,0.0,0.0,
254,Curtis,Blaydes,Razor,76.0,265,80.0,Orthodox,10.0,2.0,0.0,
255,Arlene,Blencowe,Angerfist,65.0,145,--,,9.0,6.0,0.0,
256,Byron,Bloodworth,,68.0,135,69.0,Orthodox,6.0,3.0,0.0,
257,Dashawn,Boatwright,"Buck, the 400-pound Silverback",72.0,205,--,Orthodox,3.0,1.0,0.0,
258,Dan,Bobish,,74.0,345,--,Southpaw,17.0,9.0,0.0,
259,Mark,Bocek,,68.0,155,75.0,Orthodox,12.0,5.0,0.0,
260,Kyle,Bochniak,Crash,67.0,145,70.0,Orthodox,8.0,4.0,0.0,
261,James,Bochnovic,,76.0,205,81.0,Orthodox,8.0,3.0,0.0,
262,Jeremy,Boczulak,,,--,--,,0.0,2.0,0.0,
263,Tim,Boetsch,The Barbarian,72.0,185,74.0,Orthodox,21.0,12.0,0.0,
264,Galore,Bofando,,71.0,170,72.0,Switch,5.0,3.0,0.0,
265,Jay,Bogan,,,145,--,,6.0,6.0,0.0,
266,Derek,Bohi,Marshmallow,76.0,260,--,,8.0,5.0,0.0,
267,Jerry,Bohlander,,71.0,199,--,Orthodox,11.0,4.0,0.0,
268,Kotetsu,Boku,,69.0,154,--,Orthodox,18.0,7.0,2.0,
269,Kyle,Bolt,,74.0,185,--,,8.0,4.0,0.0,
270,Luc,Bondole,,74.0,205,--,,5.0,2.0,2.0,
271,Tony,Bonello,The Gun,74.0,185,--,,16.0,2.0,1.0,
272,Jesse,Bongfeldt,Water,72.0,185,--,Orthodox,15.0,5.0,1.0,
273,Marcos,Bonilla,Murder Marx,70.0,145,--,,4.0,4.0,0.0,
274,Stephan,Bonnar,The American Psycho,76.0,205,78.0,Orthodox,17.0,8.0,0.0,
275,Rogerio,Bontorin,,66.0,125,67.0,Orthodox,14.0,1.0,0.0,
276,Ray,Borg,The Tazmexican Devil,64.0,125,63.0,Orthodox,11.0,3.0,0.0,
277,Igor,Borisov,,72.0,235,--,Orthodox,1.0,1.0,0.0,
278,Steve,Bosse,The Boss,71.0,205,72.0,Orthodox,12.0,2.0,0.0,
279,Marcus,Bossett,The Grasshopper,73.0,215,--,Orthodox,1.0,3.0,0.0,
280,Chris,Bostick,,,--,--,,6.0,3.0,0.0,
281,Poliana,Botelho,,68.0,115,--,Orthodox,7.0,2.0,0.0,
282,Francois,Botha,White Buffalo,74.0,260,--,Orthodox,0.0,1.0,0.0,
283,Gregory,Bouchelaghem,,74.0,183,--,Switch,5.0,4.0,0.0,
284,Roy,Boughton,Black Dynamite,72.0,205,--,,14.0,8.0,0.0,
285,Rich,Bouphanouvong,,67.0,170,--,,1.0,4.0,0.0,
286,Mike,Bourke,The Rhino,72.0,275,--,Orthodox,10.0,16.0,1.0,
287,Jess,Bouscal,,,155,--,,3.0,2.0,0.0,
288,Tai,Bowden,,71.0,230,--,,1.0,1.0,0.0,
289,Melton,Bowen,The Punisher,72.0,225,--,Orthodox,0.0,1.0,0.0,
290,Brian,Bowles,,67.0,135,70.0,Orthodox,10.0,3.0,0.0,
291,Roger,Bowling,Relentless,69.0,155,68.0,Orthodox,11.0,5.0,0.0,
292,Blake,Bowman,,74.0,170,--,,2.0,4.0,0.0,
293,Ashe,Bowman,The Archer,69.0,155,--,,9.0,10.0,0.0,
294,Kyle,Bradley,,69.0,155,71.0,Orthodox,15.0,8.0,0.0,
295,Paul,Bradley,The Gentleman,69.0,170,--,Orthodox,18.0,3.0,0.0,
296,Ebenezer Fontes,Braga,Pitbull,72.0,199,--,Orthodox,13.0,7.0,2.0,
297,Joe,Brammer,The South Side Strangler,68.0,155,--,Orthodox,7.0,3.0,1.0,
298,David,Branch,,73.0,185,78.0,Orthodox,22.0,5.0,0.0,
299,Diego,Brandao,DB,67.0,145,68.0,Orthodox,24.0,11.0,0.0,
300,Michael,Bravo,,,155,--,,7.0,4.0,0.0,
301,Martin,Bravo,El Toro,68.0,145,71.0,Southpaw,12.0,2.0,0.0,
302,Tom,Breese,,75.0,185,73.0,Southpaw,11.0,1.0,0.0,
303,Chris,Brennan,The Westside Strangler,68.0,170,--,Orthodox,19.0,13.0,1.0,
304,Charlie,Brenneman,The Spaniard,70.0,155,72.0,Orthodox,19.0,8.0,0.0,
305,Robert,Breslin,The Bullet,71.0,155,--,,3.0,9.0,0.0,
306,Mack,Brewer,,,205,--,,0.0,1.0,0.0,
307,Jason,Brilz,Hitman,71.0,205,71.0,Orthodox,18.0,5.0,1.0,
308,Marcus,Brimage,The Bama Beast,64.0,135,71.0,Southpaw,7.0,5.0,0.0,
309,Aaron,Brink,,75.0,205,--,Orthodox,25.0,21.0,0.0,
310,Henry,Briones,Bure,68.0,135,69.0,,19.0,8.0,1.0,
311,Marcelo,Brito,Jungle Boy,73.0,170,--,Orthodox,8.0,5.0,0.0,
312,Antwain,Britt,The Juggernaut,73.0,205,77.0,,11.0,5.0,0.0,
313,Drew,Brokenshire,,,--,--,,4.0,2.0,0.0,
314,Mike,Bronzoulis,The Greek,72.0,155,--,,13.0,3.0,1.0,
315,Jonathan,Brookins,,72.0,145,73.0,Southpaw,14.0,6.0,0.0,
316,Will,Brooks,Ill,70.0,155,72.0,Orthodox,18.0,4.0,0.0,
317,CM,Punk,CM Punk,73.0,170,73.0,Orthodox,0.0,2.0,0.0,
318,Jarred,Brooks,The Monkey God,63.0,125,62.0,Switch,14.0,2.0,0.0,
319,Rob,Broughton,The Bear,74.0,265,74.0,,15.0,7.0,1.0,
320,Lee,Brousseau,Manimal,73.0,205,--,,5.0,3.0,0.0,
321,Matt,Brown,The Immortal,72.0,170,75.0,Orthodox,23.0,16.0,0.0,
322,Mike,Brown,,66.0,145,70.0,Orthodox,26.0,9.0,0.0,
323,Dominic,Brown,,71.0,190,--,,14.0,21.0,0.0,
324,Todd,Brown,Bulldog,71.0,205,--,Orthodox,15.0,4.0,0.0,
325,Terrell,Brown,,,185,--,,3.0,1.0,0.0,
326,Chris,Brown,,,170,--,,6.0,4.0,0.0,
327,Frederick,Brown,,72.0,235,--,,3.0,2.0,0.0,
328,Randy,Brown,Rudeboy,75.0,170,78.0,Orthodox,10.0,3.0,0.0,
329,Damien,Brown,Beatdown,70.0,155,68.0,Orthodox,17.0,12.0,0.0,
330,Humberto,Brown,El Gato Negro,70.0,145,71.0,,4.0,5.0,0.0,
331,Travis,Browne,Hapa,78.0,255,79.0,Orthodox,18.0,7.0,1.0,
332,Junie,Browning,,69.0,155,--,Orthodox,4.0,5.0,0.0,
333,Jules,Bruchez,,72.0,205,--,Southpaw,1.0,2.0,0.0,
334,Justin,Bruckmann,Loaf,69.0,170,--,Orthodox,7.0,3.0,0.0,
