,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
3112,Robert,Whittaker,The Reaper,72.0,185,73.0,Orthodox,21.0,4.0,0.0,
3113,Adam,Wieczorek,Siwy,77.0,250,81.0,Orthodox,10.0,2.0,0.0,
3114,Orlando,Wiet,The Gladiator,70.0,170,--,Southpaw,1.0,5.0,0.0,
3115,Jonathan,Wiezorek,,75.0,250,--,Southpaw,11.0,2.0,0.0,
3116,Justin,Wilcox,Silverback,66.0,155,--,Orthodox,11.0,6.0,0.0,
3117,Joe,Wilk,The Nose,69.0,145,--,,12.0,8.0,0.0,
3118,Aaron,Wilkinson,The Daywalker,70.0,155,--,,7.0,5.0,0.0,
3119,Mike,Wilkinson,The Warrior,67.0,145,68.0,,9.0,2.0,0.0,
3120,Rob,Wilkinson,Razor,75.0,185,80.0,Orthodox,11.0,2.0,0.0,
3121,James,Wilks,Lightning,73.0,170,75.0,Orthodox,7.0,4.0,0.0,
3122,Tedd,Williams,,73.0,275,--,Orthodox,7.0,1.0,0.0,
3123,Pete,Williams,El Duro,75.0,235,--,Orthodox,12.0,6.0,0.0,
3124,Rubin,Williams,Mr. Hollywood,73.0,185,--,Orthodox,0.0,1.0,0.0,
3125,Carter,Williams,The Beast,73.0,265,--,Orthodox,4.0,4.0,0.0,
3126,Patrick,Williams,The Animal,68.0,135,73.0,Orthodox,8.0,6.0,0.0,
3127,Tim,Williams,The South Jersey Strangler,74.0,185,76.0,Orthodox,15.0,5.0,0.0,
3128,Jordan,Williams,Bomaye,72.0,185,75.0,Southpaw,7.0,2.0,0.0,
3129,Karl,Willis,,,--,--,,0.0,4.0,0.0,
3130,Justin,Willis,Big Pretty,73.0,264,78.0,Southpaw,8.0,1.0,0.0,
3131,Chris,Wilson,The Professor,73.0,170,75.0,Orthodox,16.0,8.0,0.0,
3132,Greg,Wilson,,,155,--,,2.0,2.0,0.0,
3133,Jonathan,Wilson,Johnny Bravo,74.0,205,75.0,Southpaw,7.0,3.0,0.0,
3134,Sean,Wilson,P-Town,68.0,145,--,,36.0,29.0,0.0,
3135,Matt,Wiman,,70.0,155,68.0,Orthodox,16.0,7.0,0.0,
3136,Eddie,Wineland,,67.0,135,69.0,Orthodox,23.0,13.0,1.0,
3137,Deron,Winn,,67.0,205,--,,5.0,0.0,0.0,
3138,Andre,Winner,,71.0,155,73.0,Orthodox,13.0,6.0,1.0,
3139,Eric,Wisely,Little Lee,68.0,145,--,Southpaw,19.0,8.0,1.0,
3140,Keith,Wisniewski,The Polish Connection,72.0,170,75.0,Orthodox,28.0,13.0,1.0,
3141,Travis,Wiuff,The Diesel,75.0,205,--,Orthodox,64.0,14.0,0.0,
3142,Ray,Wizard,,,--,--,,0.0,1.0,0.0,
3143,Brandon,Wolff,,69.0,170,--,Orthodox,7.0,5.0,0.0,
3144,Xue Do,Won,,67.0,165,--,,0.0,1.0,0.0,
3145,Nathaniel,Wood,The Prospect,66.0,135,69.0,Orthodox,15.0,3.0,0.0,
3146,Tyron,Woodley,The Chosen One,69.0,170,74.0,Orthodox,19.0,3.0,1.0,
3147,Salvador,Woods,,71.0,170,--,,5.0,10.0,0.0,
3148,Cal,Worsham,,71.0,230,--,Orthodox,11.0,10.0,0.0,
3149,Hunter,Worsham,The Future,,185,--,,4.0,2.0,0.0,
3150,Eric,Wray,,72.0,170,--,Orthodox,5.0,1.0,0.0,
3151,Justin,Wren,The Viking,74.0,265,--,Orthodox,11.0,2.0,0.0,
3152,JW,Wright,,,130,--,,1.0,0.0,0.0,
3153,Chris,Wright,,,--,--,,5.0,1.0,1.0,
3154,Jordan,Wright,The Beverly Hills Ninja,74.0,185,77.0,Orthodox,9.0,0.0,0.0,
3155,Marcin,Wrzosek,The Polish Zombie,69.0,155,--,,10.0,4.0,0.0,
3157,Rubens,Xavier,Macula,75.0,220,--,Orthodox,5.0,3.0,0.0,
3158,Yan,Xiaonan,Nine,65.0,115,63.0,Orthodox,10.0,1.0,0.0,
3160,Song,Yadong,The Terminator,68.0,135,67.0,Orthodox,14.0,4.0,0.0,
3161,Jamie,Yager,The Chosyn 1,73.0,185,--,Orthodox,5.0,2.0,0.0,
3162,Eddie,Yagin,The Filipino Phenom,67.0,145,--,Orthodox,16.0,5.0,1.0,
3163,Rani,Yahya,,66.0,135,67.0,Orthodox,26.0,9.0,0.0,
3164,Alexander,Yakovlev,Thunder of the North,75.0,170,74.0,Southpaw,23.0,8.0,1.0,
3165,Keiichiro,Yamamiya,,71.0,185,--,Southpaw,40.0,27.0,10.0,
3166,Kenichi,Yamamoto,,72.0,170,--,Orthodox,5.0,10.0,2.0,
3167,Yoshihisa,Yamamoto,,74.0,220,--,Southpaw,14.0,24.0,1.0,
3168,Atsushi,Yamamoto,,66.0,139,--,Orthodox,15.0,7.0,3.0,
3169,Norifumi,Yamamoto,Kid,64.0,135,66.0,Southpaw,18.0,6.0,0.0,
3170,Hiroko,Yamanaka,Cat's Eye,71.0,135,--,,12.0,3.0,0.0,
3171,Goiti,Yamauchi,,70.0,145,--,,21.0,3.0,0.0,
3172,Takeshi,Yamazaki,,68.0,139,--,Southpaw,15.0,12.0,3.0,
3173,Petr,Yan,No Mercy,67.0,135,67.0,Switch,11.0,1.0,0.0,
3174,Wu,Yanan,Mulan,68.0,125,66.0,Orthodox,10.0,2.0,0.0,
3175,Adam,Yandiev,Boroda,69.0,185,74.0,Orthodox,9.0,1.0,0.0,
3176,Dongi,Yang,The Ox,70.0,185,71.0,Southpaw,13.0,3.0,0.0,
3177,Jianping,Yang,Tiger,67.0,145,65.0,Orthodox,7.0,4.0,1.0,
3178,Masutatsu,Yano,,69.0,198,--,Orthodox,2.0,4.0,1.0,
3179,Hu,Yaozong,Totoro,75.0,205,72.0,Orthodox,3.0,2.0,0.0,
3180,Emmanuel,Yarborough,,80.0,770,--,Open Stance,1.0,2.0,0.0,
3181,Cale,Yarbrough,,73.0,185,--,Orthodox,8.0,3.0,0.0,
3182,Tadao,Yasuda,,76.0,310,--,Orthodox,2.0,4.0,0.0,
3183,Yoshiaki,Yatsu,,73.0,165,--,Orthodox,0.0,2.0,0.0,
3184,Chris,Yee,,69.0,185,--,,4.0,6.0,0.0,
3185,Ashley,Yoder,Spider Monkey,67.0,115,69.0,Southpaw,6.0,4.0,0.0,
3186,Hirotaka,Yokoi,Kaibatsu-Kun,71.0,205,--,Orthodox,11.0,5.0,0.0,
3187,Kazunori,Yokota,,68.0,154,--,Orthodox,14.0,5.0,3.0,
3188,John,Yoo,,,135,--,,0.0,1.0,0.0,
3189,Dong Sik,Yoon,,72.0,185,--,Orthodox,5.0,7.0,0.0,
3190,Yoshiyuki,Yoshida,Zenko,71.0,170,70.0,Southpaw,13.0,6.0,0.0,
3191,Hidehiko,Yoshida,,71.0,225,--,Orthodox,9.0,8.0,1.0,
3192,Kaitlin,Young,,69.0,135,--,Orthodox,5.0,5.0,1.0,
3193,Artenus,Young,,,205,--,,7.0,4.0,0.0,
3194,Trenell,Young,Savant,66.0,145,--,Orthodox,9.0,8.0,0.0,
3195,Jason,Young,Shotgun,69.0,145,73.0,Orthodox,8.0,7.0,0.0,
3196,Shane,Young,Sugar,68.0,145,72.0,Orthodox,12.0,4.0,0.0,
3197,Besam,Yousef,,71.0,170,71.0,Orthodox,6.0,2.0,0.0,
3198,Han Ten,Yun,,71.0,220,--,,0.0,1.0,0.0,
3199,Rob,Yundt,Monster,73.0,185,--,Orthodox,9.0,4.0,0.0,
3200,Sodiq,Yusuff,Super,69.0,145,--,Orthodox,7.0,1.0,0.0,
3201,Gilbert,Yvel,The Hurricane,74.0,225,77.0,Orthodox,36.0,16.0,1.0,
3203,Luke,Zachrich,,74.0,185,74.0,Orthodox,14.0,4.0,0.0,
3204,Anton,Zafir,The Professor,71.0,170,72.0,Orthodox,7.0,3.0,0.0,
3205,Aiemann,Zahabi,,68.0,135,68.0,Orthodox,7.0,1.0,0.0,
3206,Elizeu,Zaleski dos Santos,Capoeira,71.0,170,73.0,Orthodox,20.0,5.0,0.0,
3207,Roger,Zapata,Viva,71.0,170,74.0,Southpaw,4.0,3.0,0.0,
3208,Marius,Zaromskis,The Whitemare,69.0,170,--,Orthodox,15.0,7.0,0.0,
3209,David,Zawada,Sagat,72.0,170,75.0,Orthodox,16.0,5.0,0.0,
3210,Joao,Zeferino,The Brazilian Samurai,71.0,170,73.0,Orthodox,13.0,6.0,0.0,
3211,Craig,Zellner,Big Z,74.0,205,--,Orthodox,4.0,3.0,0.0,
3212,Roman,Zentsov,The Russian Hammer,73.0,230,--,Orthodox,18.0,13.0,0.0,
3213,Carlos,Zevallos,,72.0,205,--,Orthodox,1.0,1.0,0.0,
3214,Tiequan,Zhang,The Wolf,68.0,155,70.0,Orthodox,18.0,4.0,0.0,
3215,Zhang,Lipeng,The Warrior,71.0,155,71.0,Southpaw,9.0,9.0,1.0,
3216,Yao,Zhikui,The Conqueror,65.0,125,64.0,Orthodox,2.0,5.0,0.0,
3217,Mike,Zichelle,,,205,--,,8.0,4.0,0.0,
