,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc
0,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.5890865629940691,0.5854265569018093,0.5652461777662607,0.618410233958508
1,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5525047472457609,0.5492865499782356,0.5047076099162131,0.5735332081832402
2,cumu_dfs_dict,Cumulative Data: 2 Fight Lookback Window,5006,RandomForestClassifier,0.5694975746808082,0.566291280835263,0.5350395414343316,0.5909930935356823
3,cumu_dfs_dict,Cumulative Data: 2 Fight Lookback Window,5006,LogisticRegression,0.5429404934386971,0.5392265184761287,0.5026492350395415,0.5600735056130677
4,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,RandomForestClassifier,0.573260521431587,0.5670544018509209,0.5577949743500565,0.5992646243596297
5,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,LogisticRegression,0.5425786289896098,0.5375293819032032,0.5045691678984436,0.5596330575448424
6,cumu_dfs_dict,Cumulative Data: 4 Fight Lookback Window,2884,RandomForestClassifier,0.5575438089736183,0.5516606012044714,0.5408450704225352,0.5751286736502046
7,cumu_dfs_dict,Cumulative Data: 4 Fight Lookback Window,2884,LogisticRegression,0.557557649720778,0.5519295929719473,0.5380281690140845,0.5841600164359855
8,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,RandomForestClassifier,0.5333462014352883,0.5260070708722827,0.5058823529411764,0.5529774105777594
9,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,LogisticRegression,0.527584261321455,0.5197449510230288,0.5085972850678733,0.5588757876433461
10,cumu_dfs_dict,Cumulative Data: 6 Fight Lookback Window,1710,RandomForestClassifier,0.5180963410581234,0.5115416359670638,0.4833262890955199,0.5261493632741007
11,cumu_dfs_dict,Cumulative Data: 6 Fight Lookback Window,1710,LogisticRegression,0.5427262822606018,0.5365073828984798,0.5237954353338969,0.5642748954297382
12,cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,RandomForestClassifier,0.5229577096266625,0.5178773655803786,0.4613807245386193,0.5235721172443433
13,cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,LogisticRegression,0.592799454140762,0.5869718237657169,0.5719298245614035,0.5862035025871902
14,cumu_dfs_dict,Cumulative Data: 8 Fight Lookback Window,1026,RandomForestClassifier,0.532191128878736,0.5261203004553562,0.47510891089108914,0.5363370734051427
15,cumu_dfs_dict,Cumulative Data: 8 Fight Lookback Window,1026,LogisticRegression,0.5623833999619265,0.5563661248951292,0.5347920792079208,0.5851017390200559
16,cumu_dfs_dict,Cumulative Data: 9 Fight Lookback Window,782,RandomForestClassifier,0.5384132277557386,0.5394166689925801,0.43082706766917295,0.5426195442216012
17,cumu_dfs_dict,Cumulative Data: 9 Fight Lookback Window,782,LogisticRegression,0.5638987845932576,0.5583786878612783,0.5326384142173616,0.5604842550853544
18,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,RandomForestClassifier,0.5259830611010285,0.5178881182569708,0.4731203007518797,0.5587054921787227
19,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,LogisticRegression,0.5666364186327888,0.5613706698612358,0.5482456140350876,0.5740544742921008
