,Unnamed: 0,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc,lookback_window,aggr_type
30,30,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,KNeighborsClassifier,0.5712038717483363,0.5661626969521706,0.5475563909774437,0.5784150799265844,10.0,Exact Data
31,31,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,DecisionTreeClassifier,0.5229280096793709,0.5106538636630046,0.5236842105263158,0.5229467224460919,10.0,Exact Data
32,32,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,GaussianNB,0.5891107078039928,0.5845825222607696,0.5695488721804511,0.581312519316995,10.0,Exact Data
33,33,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,Perceptron,0.5157592256503328,0.5128291316526611,0.4553258145363409,0.5276427480155678,10.0,Exact Data
34,34,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,SGDClassifier,0.5264367816091954,0.5199804524714096,0.5623433583959899,0.5542479445252524,10.0,Exact Data
35,35,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,MLPClassifier,0.5698729582577132,0.5646589461433208,0.5587719298245615,0.5777000581523943,10.0,Exact Data
36,36,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5555438210518391,0.5521884162820169,0.5120644381100458,0.5733724102633079,1.0,Cumulative Data
37,37,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.5442499769957254,0.5493243083408188,0.422102876392848,0.5609453161793384,1.0,Cumulative Data
38,38,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,SVC,0.5734645692345014,0.5703905058337047,0.5405515245745874,0.5989455241620378,1.0,Cumulative Data
39,39,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,KNeighborsClassifier,0.5293591009092962,0.5223159612716162,0.5091103049149175,0.5376358055869384,1.0,Cumulative Data
40,40,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,DecisionTreeClassifier,0.5240074701153559,0.5158920425659844,0.5211600587371512,0.5239628453829706,1.0,Cumulative Data
41,41,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,GaussianNB,0.5020285587612825,0.4976492636615323,0.7709963721171288,0.5396958108694685,1.0,Cumulative Data
42,42,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,Perceptron,0.5214155157558368,0.5219330944831571,0.4355895309665717,0.5316640702782804,1.0,Cumulative Data
43,43,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,SGDClassifier,0.5187984658240131,0.5128526638957082,0.481766865336443,0.5217385587871192,1.0,Cumulative Data
44,44,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,MLPClassifier,0.5532258266899777,0.5470038420370469,0.5502522242377127,0.5806711223993448,1.0,Cumulative Data
45,45,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,LogisticRegression,0.5417867264814522,0.5367052314160229,0.5067269512795989,0.5583751095919196,3.0,Cumulative Data
46,46,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,RandomForestClassifier,0.5256508827082808,0.5233017231437344,0.4055777758455785,0.5414137920264289,3.0,Cumulative Data
47,47,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,SVC,0.5589881102237301,0.5557910888423041,0.5164087180824855,0.5891694384392574,3.0,Cumulative Data
48,48,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,KNeighborsClassifier,0.536253216356972,0.5287303729597692,0.5255673419702634,0.5364843454955388,3.0,Cumulative Data
49,49,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,DecisionTreeClassifier,0.5187669620607236,0.5097973877485271,0.5045155493725183,0.5185328017425362,3.0,Cumulative Data
50,50,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,GaussianNB,0.5097866156687576,0.5005233540200337,0.7793046981421905,0.5422765879657807,3.0,Cumulative Data
51,51,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,Perceptron,0.5073899148320662,0.4979541978048354,0.3872706721154683,0.5125489257384515,3.0,Cumulative Data
52,52,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,SGDClassifier,0.5174757298675343,0.5101614965664221,0.4992261542474568,0.5216261890160627,3.0,Cumulative Data
53,53,cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,MLPClassifier,0.5732776640721037,0.5668601900719014,0.5621235834565109,0.5904951158726647,3.0,Cumulative Data
54,54,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,LogisticRegression,0.5271408067310072,0.51892665812766,0.5131221719457013,0.5584221029960347,5.0,Cumulative Data
55,55,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,RandomForestClassifier,0.5093204652313783,0.5011672449479546,0.3746606334841629,0.5189755532006131,5.0,Cumulative Data
56,56,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,SVC,0.5502598366740906,0.5457309197382518,0.5104072398190045,0.5725309935511783,5.0,Cumulative Data
57,57,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,KNeighborsClassifier,0.5213481811432814,0.5131446792160388,0.5131221719457013,0.5267720133684011,5.0,Cumulative Data
58,58,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,DecisionTreeClassifier,0.4999990101460034,0.4908798288947499,0.4841628959276018,0.4997367762408254,5.0,Cumulative Data
59,59,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,GaussianNB,0.5164780994803266,0.5092396975259779,0.7972850678733032,0.5547957890438322,5.0,Cumulative Data
60,60,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,Perceptron,0.5075713932195001,0.4984961668663431,0.4678733031674208,0.508808501920295,5.0,Cumulative Data
61,61,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,SGDClassifier,0.5066874536005941,0.4968705819271007,0.4868778280542986,0.5167166023101778,5.0,Cumulative Data
62,62,cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,MLPClassifier,0.5645246226181638,0.5584016114091682,0.5411764705882354,0.5855395493416502,5.0,Cumulative Data
63,63,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,LogisticRegression,0.5666364186327888,0.5613706698612358,0.5482456140350876,0.5740544742921008,10.0,Cumulative Data
64,64,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,RandomForestClassifier,0.5245009074410164,0.51953548232618,0.38095238095238104,0.5284718956948186,10.0,Cumulative Data
65,65,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,SVC,0.5348154869933455,0.5263685851699169,0.5194235588972431,0.5559845515307849,10.0,Cumulative Data
66,66,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,KNeighborsClassifier,0.5626134301270417,0.5543859649122808,0.5548245614035088,0.5821752749055573,10.0,Cumulative Data
67,67,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,DecisionTreeClassifier,0.5315486993345433,0.5239215500174004,0.5091478696741855,0.5311665707225399,10.0,Cumulative Data
68,68,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,GaussianNB,0.5613430127041743,0.5550111292216556,0.5410401002506267,0.5752770112012937,10.0,Cumulative Data
69,69,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,Perceptron,0.5069570477918935,0.4990512992245465,0.5012531328320802,0.5000470931859163,10.0,Cumulative Data
70,70,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,SGDClassifier,0.49670296430732,0.4892495542711474,0.4731829573934838,0.5131202861039215,10.0,Cumulative Data
71,71,cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,MLPClassifier,0.5489413188142771,0.5444564943253468,0.5479323308270676,0.5769021289342586,10.0,Cumulative Data
