,hyper_opt_par,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc
89,{'activation': 'relu'},cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,MLPClassifier,0.5699334543254688,0.5624749336785771,0.5656641604010025,0.5905436809440316
90,"{'dual': True, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5313893327087325,0.5236134906088583,0.5273468947050186,0.545866301936391
91,"{'max_depth': 8, 'max_features': 42, 'n_estimators': 16}",ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.4965217536785926,0.48763713035654666,0.4420916472315799,0.5007942481069553
92,"{'kernel': 'linear', 'shrinking': True}",ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,SVC,0.5297999464627792,0.5261785261981194,0.4603230543318649,0.5428195989296493
93,"{'algorithm': 'brute', 'leaf_size': 24, 'n_neighbors': 70, 'weights': 'distance'}",ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,KNeighborsClassifier,0.513604518876053,0.5067490934183627,0.4576751317266995,0.5117715969093132
94,"{'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}",ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,DecisionTreeClassifier,0.5066563914240063,0.4985740794267424,0.4991267167660015,0.5065385522002999
95,{'var_smoothing': 0.0008167526692034373},ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,GaussianNB,0.5085358406598462,0.5005960543265917,0.6940006046471453,0.5287060962657313
96,"{'alpha': 0.0009697849240791764, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,Perceptron,0.5190975213939754,0.5106758375884257,0.5326323745357173,0.524124348001
97,"{'fit_intercept': True, 'loss': 'hinge'}",ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,SGDClassifier,0.5124461490844299,0.5067131353935472,0.50499568109182,0.5152565505969033
98,{'activation': 'identity'},ef_cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,MLPClassifier,0.5318228587202931,0.5261998666741273,0.49031484840632283,0.546793749357101
99,"{'dual': False, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,LogisticRegression,0.5309534631582274,0.5220740866640499,0.544390342868736,0.5495132397907427
100,"{'max_depth': 4, 'max_features': 28, 'n_estimators': 32}",ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,RandomForestClassifier,0.5105841162083562,0.502399813539588,0.4497333565197229,0.5207389505518405
101,"{'kernel': 'rbf', 'shrinking': True}",ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,SVC,0.5296373564312536,0.5241710813521326,0.48037561951134683,0.5375647889149298
102,"{'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 64, 'weights': 'distance'}",ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,KNeighborsClassifier,0.5164052695185521,0.5087108514607236,0.481969683795612,0.5147795155630955
103,"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}",ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,DecisionTreeClassifier,0.5071481219030363,0.49916685754908696,0.5088876329594528,0.5071717656139255
104,{'var_smoothing': 7.09044663221809e-05},ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,GaussianNB,0.5119194818483577,0.5066613960160189,0.801370895284468,0.5316978219367617
105,"{'alpha': 0.000729400710995335, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,Perceptron,0.5055387711816453,0.499218256499641,0.5142523838506797,0.49914146601437387
106,"{'fit_intercept': True, 'loss': 'hinge'}",ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,SGDClassifier,0.5121686210943212,0.5039131312385128,0.5089253108425354,0.5273142956277846
107,{'activation': 'identity'},ef_cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,MLPClassifier,0.5359855125131092,0.529392548997037,0.5067515868185375,0.545350205191863
108,"{'dual': True, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,LogisticRegression,0.5347270477604553,0.5251239586913253,0.56289592760181,0.5553587479933012
109,"{'max_depth': 34, 'max_features': 20, 'n_estimators': 45}",ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,RandomForestClassifier,0.5209255134867606,0.5141613297601335,0.4877828054298643,0.5209961528235217
110,"{'kernel': 'linear', 'shrinking': False}",ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,SVC,0.5280475129918336,0.5200083876292199,0.5158371040723981,0.5507758657447033
111,"{'algorithm': 'ball_tree', 'leaf_size': 51, 'n_neighbors': 6, 'weights': 'distance'}",ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,KNeighborsClassifier,0.5178193516456322,0.5099851560734295,0.5049773755656108,0.510559733325291
112,"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}",ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,DecisionTreeClassifier,0.5102242019302153,0.5014017067210538,0.5004524886877828,0.5100668940029737
113,{'var_smoothing': 0.00020191139945112784},ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,GaussianNB,0.5164949269982678,0.5112416482196382,0.7864253393665159,0.5414807642909365
114,"{'alpha': 0.0004332853450150979, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,Perceptron,0.5075694135115071,0.4989915054604889,0.5131221719457014,0.5072381377280859
115,"{'fit_intercept': True, 'loss': 'hinge'}",ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,SGDClassifier,0.5387052709725315,0.5284938330173871,0.5728506787330316,0.5435715962038511
116,{'activation': 'identity'},ef_cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,MLPClassifier,0.533824300915615,0.5269865740059323,0.5122171945701357,0.5554907021946377
117,"{'dual': False, 'fit_intercept': True}",ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,LogisticRegression,0.5593916697531287,0.5531472202338344,0.5355889724310777,0.5851824692184477
118,"{'max_depth': 2, 'max_features': 9, 'n_estimators': 28}",ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,RandomForestClassifier,0.512655876496807,0.5031605329673756,0.4054682159945318,0.5193142127145952
119,"{'kernel': 'sigmoid', 'shrinking': False}",ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,SVC,0.5527139680318737,0.5490667744929109,0.5068124857598543,0.5636853052685955
120,"{'algorithm': 'brute', 'leaf_size': 3, 'n_neighbors': 26, 'weights': 'uniform'}",ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,KNeighborsClassifier,0.5415258147624847,0.5445759505352529,0.3933128275233539,0.5492244822311301
121,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,DecisionTreeClassifier,0.508883554263052,0.498843557363153,0.505228981544771,0.5087818450514503
122,{'var_smoothing': 0.0004205563390373325},ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,GaussianNB,0.5557153199784786,0.542740126946538,0.5855661881977671,0.5663855945389378
123,"{'alpha': 0.0005931700164511804, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,Perceptron,0.5125954580487564,0.5042755279259541,0.5247778537252221,0.5158433376797639
124,"{'fit_intercept': False, 'loss': 'hinge'}",ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,SGDClassifier,0.5237340653456102,0.5136559015012364,0.5825928457507404,0.5380566612042835
125,{'activation': 'logistic'},ef_cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,MLPClassifier,0.5437893015857048,0.536391587957067,0.51742993848257,0.5631466490437745
126,"{'dual': True, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,LogisticRegression,0.5454022988505748,0.536385883304682,0.5478696741854636,0.5491217999704111
127,"{'max_depth': 18, 'max_features': 30, 'n_estimators': 7}",ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,RandomForestClassifier,0.5244404113732607,0.5166380789022298,0.5335839598997494,0.5130644041430286
128,"{'kernel': 'poly', 'shrinking': False}",ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,SVC,0.529643073200242,0.537727127988451,0.3238721804511278,0.5627284715294959
129,"{'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 30, 'weights': 'uniform'}",ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,KNeighborsClassifier,0.4876285541439806,0.46948555320648355,0.3380952380952381,0.5149302793805086
130,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,DecisionTreeClassifier,0.5156684815486993,0.5055930837530896,0.5229949874686717,0.5157932272235235
131,{'var_smoothing': 0.0005334378957571275},ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,GaussianNB,0.5734422262552934,0.568634885569286,0.5410401002506265,0.5782158310738857
132,"{'alpha': 0.00016263159830716092, 'fit_intercept': False}",ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,Perceptron,0.5277676950998185,0.5162886795254209,0.5191729323308272,0.5326024917641854
133,"{'fit_intercept': True, 'loss': 'hinge'}",ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,SGDClassifier,0.536842105263158,0.531222430007794,0.47368421052631576,0.5380739070059719
134,{'activation': 'relu'},ef_cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,MLPClassifier,0.5191772534785238,0.5105985302238648,0.4980576441102757,0.5418736606273133
135,"{'dual': False, 'fit_intercept': False}",ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5645104690362464,0.5558995095338177,0.5717336097434569,0.5927387586758368
136,"{'max_depth': 46, 'max_features': 43, 'n_estimators': 41}",ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.5777966924035702,0.5718878347109535,0.5640606374708473,0.6130736015868004
137,"{'kernel': 'rbf', 'shrinking': True}",ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,SVC,0.578099303179609,0.5750407801140763,0.5440869828107455,0.6095308555914999
138,"{'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 44, 'weights': 'distance'}",ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,KNeighborsClassifier,0.5506173510786913,0.5463203903352756,0.5114546082750281,0.5692323467735356
139,"{'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}",ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,DecisionTreeClassifier,0.5232895276176773,0.5159118901531198,0.5141111686965535,0.5231457635963507
140,{'var_smoothing': 0.000861604186518753},ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,GaussianNB,0.5300895911931272,0.5169523832769567,0.7615923814459704,0.5807506822358468
141,"{'alpha': 0.0006971328614890131, 'fit_intercept': False}",ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,Perceptron,0.5260337284491773,0.5206449243723925,0.483209380668567,0.5424836698264842
142,"{'fit_intercept': True, 'loss': 'squared_hinge'}",ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,SGDClassifier,0.532685309888492,0.5234079650282392,0.5667215168005528,0.5477067358732912
143,{'activation': 'relu'},ef_cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,MLPClassifier,0.5574121864099111,0.5498678592072851,0.5584914053727218,0.574179325051483
144,"{'dual': True, 'fit_intercept': False}",ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,LogisticRegression,0.5441680274085989,0.5351028983052789,0.5545894559893343,0.5676536275337059
145,"{'max_depth': 29, 'max_features': 40, 'n_estimators': 37}",ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,RandomForestClassifier,0.5796058835893667,0.5726072934539543,0.5690881952294005,0.6087868417060681
146,"{'kernel': 'rbf', 'shrinking': True}",ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,SVC,0.5629591534872926,0.5608097537696392,0.514236443207837,0.6011846596261063
147,"{'algorithm': 'brute', 'leaf_size': 53, 'n_neighbors': 66, 'weights': 'uniform'}",ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,KNeighborsClassifier,0.5497354724164106,0.5508121439343387,0.4599020375039852,0.5668686703324657
148,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}",ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,DecisionTreeClassifier,0.5214156377263623,0.5143588634713558,0.5185693997623395,0.5213768265045463
149,{'var_smoothing': 0.0007037935731414546},ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,GaussianNB,0.5309520467553659,0.5153155756633043,0.7696272787873519,0.577221881205543
150,"{'alpha': 0.0006373417002277572, 'fit_intercept': False}",ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,Perceptron,0.5192925873111689,0.5099277619816134,0.5470393878793149,0.5266834614293531
151,"{'fit_intercept': True, 'loss': 'hinge'}",ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,SGDClassifier,0.5116356680420123,0.5039668759236605,0.5282830478509115,0.5247266328647091
152,{'activation': 'relu'},ef_cumu_dfs_dict,Cumulative Data: 3 Fight Lookback Window,3780,MLPClassifier,0.5711591679012746,0.5636524470812692,0.5653450424600759,0.600768822103414
153,"{'dual': True, 'fit_intercept': True}",ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,LogisticRegression,0.5440455332838408,0.5368187261924035,0.5266968325791856,0.5644743861867715
154,"{'max_depth': 5, 'max_features': 14, 'n_estimators': 42}",ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,RandomForestClassifier,0.5351239792130661,0.5304933451909876,0.45610859728506786,0.5502795252075336
155,"{'kernel': 'poly', 'shrinking': True}",ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,SVC,0.5454046028210839,0.5579891582941177,0.3565610859728507,0.5602157129669398
156,"{'algorithm': 'auto', 'leaf_size': 58, 'n_neighbors': 54, 'weights': 'uniform'}",ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,KNeighborsClassifier,0.556475129918337,0.5559489511445267,0.4778280542986425,0.5702065248778647
157,"{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}",ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,DecisionTreeClassifier,0.4968898787428855,0.48731844727754287,0.4769230769230769,0.49656120903535295
158,{'var_smoothing': 0.0004234001107160263},ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,GaussianNB,0.5262637960900768,0.5160326204967719,0.8,0.5736206600101987
159,"{'alpha': 2.83163125558943e-05, 'fit_intercept': False}",ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,Perceptron,0.5133452115812918,0.5043534354064144,0.4859728506787331,0.5251440091267312
160,"{'fit_intercept': True, 'loss': 'hinge'}",ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,SGDClassifier,0.5253749072011878,0.5178168080812038,0.5113122171945701,0.5415807569071862
161,{'activation': 'logistic'},ef_cumu_dfs_dict,Cumulative Data: 5 Fight Lookback Window,2248,MLPClassifier,0.5582885424399902,0.5498646955225903,0.5592760180995475,0.5697710136155659
162,"{'dual': False, 'fit_intercept': False}",ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,LogisticRegression,0.5794110674687911,0.5699800279518937,0.5824561403508772,0.5862905740062533
163,"{'max_depth': 11, 'max_features': 17, 'n_estimators': 19}",ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,RandomForestClassifier,0.5156050710445147,0.5041942074875876,0.49188881294144443,0.5251586924380858
164,"{'kernel': 'linear', 'shrinking': True}",ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,SVC,0.5697538806862666,0.5637940829142988,0.5431305536568695,0.5862491041949526
165,"{'algorithm': 'brute', 'leaf_size': 31, 'n_neighbors': 85, 'weights': 'uniform'}",ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,KNeighborsClassifier,0.5429468574735313,0.5399884702079241,0.47040328092959677,0.5598117563293614
166,"{'criterion': 'gini', 'max_features': 'log2', 'splitter': 'random'}",ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,DecisionTreeClassifier,0.508082476363797,0.49851449462470676,0.4855661881977671,0.5076513898780013
167,{'var_smoothing': 0.0002157417702613544},ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,GaussianNB,0.5423406407546107,0.5288486085358032,0.6021645021645021,0.564178037814018
