,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc
0,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5322540843043926,0.5247323101584479,0.5246989720998532,0.5414807315181014
1,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.5098297265419138,0.5020983982776539,0.4370860326509458,0.515695606367583
2,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,SVC,0.5243044343876262,0.5205915841861852,0.4373982897123607,0.533975586382639
3,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,KNeighborsClassifier,0.5198112812962699,0.5135591676526587,0.45060378336356577,0.5204272327076843
4,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,DecisionTreeClassifier,0.5052098408104196,0.49702916698106847,0.4958901269759005,0.5050639232383889
5,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,GaussianNB,0.5073799804254536,0.5001922742354326,0.701056404940831,0.5274478499122871
6,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,Perceptron,0.5107051437558033,0.5035440632659764,0.5241077135700095,0.5164933932871153
7,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,SGDClassifier,0.4914662506378458,0.48233029406736316,0.5026176902479053,0.49392365571642316
8,cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,MLPClassifier,0.5296560651815664,0.5241897096088072,0.4888386455903948,0.5341672043550088
9,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,LogisticRegression,0.5363466884412993,0.5298280283526908,0.5277767284493023,0.5505958777120481
10,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,RandomForestClassifier,0.5229612650822232,0.5166979760943967,0.4892462080462508,0.5299918627606751
11,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,SVC,0.5353496822538738,0.5326127886448738,0.47426809338840936,0.5476164050076733
12,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,KNeighborsClassifier,0.5193768351409072,0.513170911113605,0.47790442716246073,0.5203762878676315
13,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,DecisionTreeClassifier,0.506198003992016,0.49912687407734857,0.5176347406196877,0.5063592641115802
14,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,GaussianNB,0.5029924119792384,0.4957083524083896,0.7194898621182383,0.5136127457401045
15,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,Perceptron,0.49581856028203336,0.48989824081072,0.49046242537221507,0.4977736217732575
16,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,SGDClassifier,0.514179828155876,0.5070291065621155,0.5167650754284681,0.51617150235379
17,cumu_dfs_dict,Exact Data: 2 Fight Lookback Window,5006,MLPClassifier,0.5461550684844099,0.5400293995220105,0.5427540218935543,0.5638052583793369
18,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,LogisticRegression,0.5349164667154817,0.5289129766217353,0.49759731037880767,0.5426963625500505
19,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,RandomForestClassifier,0.49258104566913297,0.48438320867644463,0.4825145639509608,0.4965576172175191
20,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,SVC,0.5375518180109324,0.5331599669841378,0.502440367504275,0.5452242732214108
21,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,KNeighborsClassifier,0.5198349816605916,0.5131760080371215,0.4577587456163233,0.5175508670633822
22,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,DecisionTreeClassifier,0.49497879214440754,0.48668856966459967,0.49976668695475757,0.49507003178906706
23,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,GaussianNB,0.5113914315866077,0.5063815704605344,0.8099802915688491,0.5201767583451241
24,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,Perceptron,0.5110911722321347,0.5050296059016253,0.5314784221661885,0.5043908773111736
25,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,SGDClassifier,0.49894251130912054,0.4896621386193403,0.47609048488537226,0.5032654565363881
26,cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,MLPClassifier,0.5301559524353403,0.521829359479666,0.5212590209546996,0.5390776469728368
27,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,LogisticRegression,0.5537598690544965,0.5476660455383859,0.5330985915492957,0.5780062099183535
28,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,RandomForestClassifier,0.5214916714808396,0.5146134032292663,0.497887323943662,0.5305506433805978
29,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,SVC,0.5565328326593492,0.5544958640687765,0.5070422535211268,0.5739554901525663
30,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,KNeighborsClassifier,0.5464663970729828,0.5394520080616362,0.5408450704225352,0.5463891535664969
31,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,DecisionTreeClassifier,0.4986032880801079,0.49118080293369487,0.4929577464788732,0.49850795360785033
32,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,GaussianNB,0.5229076400924322,0.5151124710100827,0.8056338028169014,0.5405931227648277
33,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,Perceptron,0.5305212545734642,0.5255013175522709,0.5183098591549296,0.538550279892455
34,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,SGDClassifier,0.5225417629501251,0.5167520311902202,0.4640845070422534,0.5268389075864321
