,Variable IDs,Variable Labels
97,f1_r3_strikes_l,fighter 1 round 3 strikes landed
98,f1_r3_strikes_a,fighter 1 round 3 strikes attempts
99,f1_r3_tds_l,fighter 1 round 3 takedowns landed
100,f1_r3_tds_a,fighter 1 round 3 takedowns attempts
101,f1_r3_subs_a,fighter 1 round 3 submissions attempts
102,f1_r3_passes,fighter 1 round 3 passes
103,f1_r3_revs,fighter 1 round 3 reversals
104,f1_r3_ss_head_l,fighter 1 round 3 significant strikes to the head landed
105,f1_r3_ss_head_a,fighter 1 round 3 significant strikes to the head attempts
106,f1_r3_ss_body_l,fighter 1 round 3 significant strikes to the body landed
107,f1_r3_ss_body_a,fighter 1 round 3 significant strikes to the body attempts
108,f1_r3_ss_leg_l,fighter 1 round 3 significant strikes to the leg landed
109,f1_r3_ss_leg_a,fighter 1 round 3 significant strikes to the leg attempts
110,f1_r3_ss_dist_l,fighter 1 round 3 significant strikes dist landed
111,f1_r3_ss_dist_a,fighter 1 round 3 significant strikes dist attempts
112,f1_r3_ss_clinch_l,fighter 1 round 3 significant strikes from clinch landed
113,f1_r3_ss_clinch_a,fighter 1 round 3 significant strikes from clinch attempts
114,f1_r3_ss_ground_l,fighter 1 round 3 significant strikes from ground landed
115,f1_r3_ss_ground_a,fighter 1 round 3 significant strikes from ground attempts
116,f2_r3_kds,fighter 2 round 3 knockdowns
117,f2_r3_sigstrikes_l,fighter 2 round 3 significant strikes landed
118,f2_r3_sigstrikes_a,fighter 2 round 3 significant strikes attempts
119,f2_r3_strikes_l,fighter 2 round 3 strikes landed
120,f2_r3_strikes_a,fighter 2 round 3 strikes attempts
121,f2_r3_tds_l,fighter 2 round 3 takedowns landed
122,f2_r3_tds_a,fighter 2 round 3 takedowns attempts
123,f2_r3_subs_a,fighter 2 round 3 submissions attempts
124,f2_r3_passes,fighter 2 round 3 passes
125,f2_r3_revs,fighter 2 round 3 reversals
126,f2_r3_ss_head_l,fighter 2 round 3 significant strikes to the head landed
127,f2_r3_ss_head_a,fighter 2 round 3 significant strikes to the head attempts
128,f2_r3_ss_body_l,fighter 2 round 3 significant strikes to the body landed
129,f2_r3_ss_body_a,fighter 2 round 3 significant strikes to the body attempts
130,f2_r3_ss_leg_l,fighter 2 round 3 significant strikes to the leg landed
131,f2_r3_ss_leg_a,fighter 2 round 3 significant strikes to the leg attempts
132,f2_r3_ss_dist_l,fighter 2 round 3 significant strikes dist landed
133,f2_r3_ss_dist_a,fighter 2 round 3 significant strikes dist attempts
134,f2_r3_ss_clinch_l,fighter 2 round 3 significant strikes from clinch landed
135,f2_r3_ss_clinch_a,fighter 2 round 3 significant strikes from clinch attempts
136,f2_r3_ss_ground_l,fighter 2 round 3 significant strikes from ground landed
137,f2_r3_ss_ground_a,fighter 2 round 3 significant strikes from ground attempts
138,f1_r4_kds,fighter 1 round 4 knockdowns
139,f1_r4_sigstrikes_l,fighter 1 round 4 significant strikes landed
140,f1_r4_sigstrikes_a,fighter 1 round 4 significant strikes attempts
141,f1_r4_strikes_l,fighter 1 round 4 strikes landed
142,f1_r4_strikes_a,fighter 1 round 4 strikes attempts
143,f1_r4_tds_l,fighter 1 round 4 takedowns landed
144,f1_r4_tds_a,fighter 1 round 4 takedowns attempts
145,f1_r4_subs_a,fighter 1 round 4 submissions attempts
146,f1_r4_passes,fighter 1 round 4 passes
147,f1_r4_revs,fighter 1 round 4 reversals
148,f1_r4_ss_head_l,fighter 1 round 4 significant strikes to the head landed
149,f1_r4_ss_head_a,fighter 1 round 4 significant strikes to the head attempts
150,f1_r4_ss_body_l,fighter 1 round 4 significant strikes to the body landed
151,f1_r4_ss_body_a,fighter 1 round 4 significant strikes to the body attempts
152,f1_r4_ss_leg_l,fighter 1 round 4 significant strikes to the leg landed
153,f1_r4_ss_leg_a,fighter 1 round 4 significant strikes to the leg attempts
154,f1_r4_ss_dist_l,fighter 1 round 4 significant strikes dist landed
155,f1_r4_ss_dist_a,fighter 1 round 4 significant strikes dist attempts
156,f1_r4_ss_clinch_l,fighter 1 round 4 significant strikes from clinch landed
157,f1_r4_ss_clinch_a,fighter 1 round 4 significant strikes from clinch attempts
158,f1_r4_ss_ground_l,fighter 1 round 4 significant strikes from ground landed
159,f1_r4_ss_ground_a,fighter 1 round 4 significant strikes from ground attempts
160,f2_r4_kds,fighter 2 round 4 knockdowns
161,f2_r4_sigstrikes_l,fighter 2 round 4 significant strikes landed
