,fighter_1,fighter_2,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs
16,Joseph Benavidez,Dustin Ortiz,Joseph Benavidez,http://ufcstats.com/fight-details/4738cd4cd8d33eeb,2019-01-19,1,9,21,13,28,3,4,0,1,0,0,16,29,25,39,0,1,0,0,0,1,9,21,13,28,3,4,0,1,0,0,19,35,34,50,3,7,0,2,0,0,11,22,12,23,1,4,0,0,1,0,14,23,34,47,0,0,0,0,1,0,1,7,12,21,3,4,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Paige VanZant ""12 Gauge""",Rachael Ostovich,"Paige VanZant ""12 Gauge""",http://ufcstats.com/fight-details/7ddd21d48e3b34b9,2019-01-19,0,2,7,12,17,0,1,1,0,0,0,6,8,9,12,3,3,0,4,0,0,2,7,12,17,0,1,1,0,0,0,4,6,4,6,1,1,0,0,0,0,15,20,26,39,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Glover Teixeira,"Karl Roberson ""Baby K""",Glover Teixeira,http://ufcstats.com/fight-details/5d1f24e034772338,2019-01-19,0,6,11,20,26,1,3,1,3,0,1,24,30,29,35,0,0,0,2,0,0,6,11,20,26,1,3,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Alexander Hernandez ""The Great""","Donald Cerrone ""Cowboy""","Alexander Hernandez ""The Great""",http://ufcstats.com/fight-details/3dd0951b8855137d,2019-01-19,0,31,71,35,75,0,0,0,0,0,0,36,87,37,88,1,1,0,0,0,0,31,71,35,75,0,0,0,0,0,1,44,75,44,75,0,0,0,0,0,0,18,34,19,35,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Joanne Calderwood ""JoJo""","Ariane Lipski ""Queen of Violence""","Joanne Calderwood ""JoJo""",http://ufcstats.com/fight-details/77c6a6f33289b872,2019-01-19,0,20,28,40,52,1,1,1,4,0,0,13,25,13,25,0,0,0,0,0,0,20,28,40,52,1,1,1,4,0,0,30,88,30,88,0,0,0,0,0,0,47,97,50,100,0,2,0,0,0,0,10,41,26,58,1,1,0,1,0,0,18,47,31,61,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alonzo Menifield,"Vinicius Moreira ""Mamute""",Alonzo Menifield,http://ufcstats.com/fight-details/8a9c8f1d53d8c664,2019-01-19,1,33,60,35,62,0,0,0,0,0,0,11,21,12,22,0,4,0,0,0,1,33,60,35,62,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cory Sandhagen,Mario Bautista,Cory Sandhagen,http://ufcstats.com/fight-details/efbab76bedbfb65d,2019-01-19,1,17,54,17,55,1,2,2,2,0,0,9,30,10,32,1,1,0,0,0,1,17,54,17,55,1,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Dennis Bermudez ""The Menace""","Te Edwards ""Tango""","Dennis Bermudez ""The Menace""",http://ufcstats.com/fight-details/2ea1f463620bcd3d,2019-01-19,0,19,55,22,59,1,4,0,1,0,1,16,31,16,31,0,0,0,0,0,0,19,55,22,59,1,4,0,1,0,0,2,10,2,10,0,0,0,0,0,0,16,23,24,32,2,2,0,3,0,0,5,15,6,16,0,0,0,0,0,0,28,44,37,56,2,3,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Belal Muhammad ""Remember the Name""","Geoff Neal ""Handz of Steel""","Belal Muhammad ""Remember the Name""",http://ufcstats.com/fight-details/2cc1fe3570999428,2019-01-19,0,11,41,11,41,0,2,0,0,0,0,16,47,16,47,0,0,0,0,0,0,11,41,11,41,0,2,0,0,0,0,29,69,29,69,0,0,0,0,0,0,23,83,24,84,0,3,0,0,0,2,26,74,26,74,0,0,0,0,0,0,29,80,29,80,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Kyle Stewart ""Gunz Up""","Chance Rencountre ""Black Eagle""","Kyle Stewart ""Gunz Up""",http://ufcstats.com/fight-details/e76227f395b94e47,2019-01-19,0,2,11,2,11,0,0,0,0,0,0,6,9,13,22,2,3,1,1,0,0,2,11,2,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
