,fighter_1,fighter_2,end_round,end_time,winner,date,fight_url,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
486,Maia Stevenson,"Polyana Viana ""Dama de Ferro""",1,3:50,Maia Stevenson,2018-02-03,http://ufcstats.com/fight-details/7bfb92f7ea59dbbd,0,6,11,11,16,1,1,0,0,0,1,6,3,3,2,2,4,9,2,2,0,0,0,12,18,25,35,1,2,3,4,1,1,6,3,3,2,2,4,9,2,2,0,0,0,6,11,11,16,1,1,0,0,0,11,16,1,2,0,0,4,8,1,2,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,"Iuri Alcantara ""Marajo""","Joe Soto ""One Bad Mofo""",1,1:06,"Iuri Alcantara ""Marajo""",2018-02-03,http://ufcstats.com/fight-details/fa77134e0d90da3b,1,17,30,17,30,0,0,0,1,0,13,26,3,3,1,1,8,17,1,2,8,11,0,1,2,1,2,0,1,0,0,0,13,26,3,3,1,1,8,17,1,2,8,11,1,17,30,17,30,0,0,0,1,0,1,1,0,0,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,"Deiveson Figueiredo ""Deus da Guerra""","Joseph Morales ""Bopo""",2,4:34,"Deiveson Figueiredo ""Deus da Guerra""",2018-02-03,http://ufcstats.com/fight-details/1fd5bf36c42ff1a2,0,13,23,22,33,1,1,1,2,0,9,18,4,5,0,0,1,2,0,0,12,21,0,2,10,3,12,0,1,0,0,0,9,18,4,5,0,0,1,2,0,0,12,21,0,13,23,22,33,1,1,1,2,0,2,9,0,0,0,1,0,1,0,0,2,9,0,7,22,8,23,0,0,0,0,0,16,33,2,6,0,0,10,25,0,0,8,14,1,18,39,22,43,1,1,0,1,0,3,15,2,4,2,3,7,19,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,"Jacare Souza ""Jacare""",Derek Brunson,1,3:50,"Jacare Souza ""Jacare""",2018-01-27,http://ufcstats.com/fight-details/3a94bf34e62ae5fd,1,9,21,9,21,0,1,0,0,0,7,10,2,11,0,0,6,17,1,1,2,3,0,8,34,8,34,0,0,0,0,0,7,10,2,11,0,0,6,17,1,1,2,3,1,9,21,9,21,0,1,0,0,0,5,28,2,4,1,2,8,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,"Dennis Bermudez ""The Menace""","Andre Fili ""Touchy""",3,5:00,"Dennis Bermudez ""The Menace""",2018-01-27,http://ufcstats.com/fight-details/27901ef9e82d5690,0,35,66,43,74,0,4,0,0,0,19,47,4,6,12,13,33,59,2,7,0,0,0,28,70,35,77,2,2,0,0,0,19,47,4,6,12,13,33,59,2,7,0,0,0,35,66,43,74,0,4,0,0,0,23,64,1,2,4,4,28,68,0,2,0,0,0,23,59,27,63,2,5,0,1,0,12,31,3,4,12,13,24,42,3,6,0,0,0,27,48,41,63,0,6,0,0,0,19,53,3,5,1,1,20,54,3,5,0,0,0,29,100,31,102,0,5,0,0,0,25,60,5,11,11,11,34,75,7,7,0,0,0,41,82,49,90,1,1,0,1,0,28,97,1,2,0,1,28,98,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,"Jordan Rinaldi ""All Day""","Gregor Gillespie ""The Gift""",1,4:46,"Jordan Rinaldi ""All Day""",2018-01-27,http://ufcstats.com/fight-details/d571486369996a39,0,7,16,7,16,0,0,0,0,0,5,14,1,1,1,1,7,16,0,0,0,0,0,34,55,42,63,1,2,0,7,0,5,14,1,1,1,1,7,16,0,0,0,0,0,7,16,7,16,0,0,0,0,0,31,51,1,2,2,2,5,19,1,1,28,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Drew Dober,"Frank Camacho ""The Crank""",3,5:00,Drew Dober,2018-01-27,http://ufcstats.com/fight-details/f23e2bed86b62462,0,30,70,37,77,0,1,0,0,0,14,52,11,13,5,5,17,49,9,12,4,9,0,17,41,43,70,2,2,0,2,0,14,52,11,13,5,5,17,49,9,12,4,9,0,30,70,37,77,0,1,0,0,0,14,38,3,3,0,0,16,36,1,1,0,4,0,37,79,38,81,0,0,0,0,1,46,107,16,22,5,5,64,131,2,2,1,1,0,67,134,71,138,0,2,0,0,0,24,63,13,16,0,0,35,77,1,1,1,1,0,52,103,67,118,1,1,0,1,0,36,103,7,10,5,5,44,113,4,5,0,0,0,48,118,53,123,0,3,0,0,0,42,93,10,10,0,0,48,96,4,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,"Erik Koch ""New Breed""","Bobby Green ""King""",3,5:00,"Erik Koch ""New Breed""",2018-01-27,http://ufcstats.com/fight-details/04a1c5b7993fe4d5,0,22,45,26,49,1,1,0,2,0,17,38,1,1,4,6,13,33,1,2,8,10,0,27,40,29,42,0,3,0,0,0,17,38,1,1,4,6,13,33,1,2,8,10,0,22,45,26,49,1,1,0,2,0,8,16,7,12,12,12,13,25,14,15,0,0,0,34,77,36,80,0,0,0,0,0,19,64,6,7,0,1,23,68,2,4,0,0,0,25,72,25,72,0,0,0,0,0,12,45,18,25,4,7,20,61,14,16,0,0,0,49,77,69,98,1,2,0,2,1,9,27,0,2,0,0,9,28,0,0,0,1,0,9,29,9,29,0,0,0,0,1,28,55,18,19,3,3,22,42,9,11,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Mirsad Bektic,Godofredo Pepey,1,2:47,Mirsad Bektic,2018-01-27,http://ufcstats.com/fight-details/b8648b32caf36c5a,1,12,33,12,34,0,0,0,0,0,7,24,1,4,4,5,9,29,0,0,3,4,0,5,17,5,17,0,0,0,0,0,7,24,1,4,4,5,9,29,0,0,3,4,1,12,33,12,34,0,0,0,0,0,2,12,2,4,1,1,4,16,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,"Katlyn Chookagian ""Blonde Fighter""","Mara Romero Borella ""Kunoichici""",3,5:00,"Katlyn Chookagian ""Blonde Fighter""",2018-01-27,http://ufcstats.com/fight-details/c5f0c83e303d80bf,0,24,99,24,99,0,1,0,0,0,13,84,8,12,3,3,23,98,1,1,0,0,0,34,70,34,70,0,0,0,0,0,13,84,8,12,3,3,23,98,1,1,0,0,0,24,99,24,99,0,1,0,0,0,19,55,1,1,14,14,34,70,0,0,0,0,0,22,72,23,75,0,1,0,0,0,8,51,11,15,4,4,21,68,2,2,0,0,0,23,70,23,71,0,0,0,0,0,13,59,1,3,8,10,21,71,1,1,0,0,0,23,69,23,69,1,2,0,0,0,16,77,3,4,2,2,19,81,2,2,0,0,0,21,83,24,87,0,0,1,0,0,14,56,1,2,8,11,23,69,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,"Randa Markos ""Quiet Storm""","Juliana Lima ""Ju Thai""",3,5:00,"Randa Markos ""Quiet Storm""",2018-01-27,http://ufcstats.com/fight-details/5a096f2acb44c776,0,22,25,30,33,0,3,0,2,1,1,2,5,5,16,18,1,2,16,18,5,5,0,10,17,13,20,1,1,0,1,0,1,2,5,5,16,18,1,2,16,18,5,5,0,22,25,30,33,0,3,0,2,1,3,5,2,3,5,9,1,6,9,11,0,0,0,3,10,12,22,0,0,0,0,0,7,16,3,3,0,0,1,7,2,2,7,10,0,10,19,40,54,1,2,0,1,0,0,1,0,4,3,5,3,10,0,0,0,0,0,5,10,9,14,0,1,0,0,0,3,7,2,3,9,11,2,5,11,13,1,3,0,14,21,44,62,1,2,0,3,0,2,5,3,4,0,1,2,7,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Justine Kish,"Ji Yeon Kim ""Firefist""",3,5:00,Justine Kish,2018-01-27,http://ufcstats.com/fight-details/6e65bec924996b5a,0,23,54,23,54,0,0,0,0,0,9,31,5,9,9,14,23,54,0,0,0,0,0,14,50,14,50,0,0,0,0,0,9,31,5,9,9,14,23,54,0,0,0,0,0,23,54,23,54,0,0,0,0,0,10,46,2,2,2,2,14,50,0,0,0,0,0,18,69,18,70,0,0,0,0,0,13,40,7,8,11,13,30,60,1,1,0,0,0,31,61,31,61,0,0,0,0,0,16,66,2,3,0,0,18,68,0,1,0,0,0,36,96,36,96,0,0,0,0,0,21,61,10,14,11,13,40,83,2,5,0,0,0,42,88,42,88,0,0,0,0,0,34,89,1,6,1,1,34,92,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,"Vinc Pichel ""From Hell""","Joaquim Silva ""Netto BJJ""",3,5:00,"Vinc Pichel ""From Hell""",2018-01-27,http://ufcstats.com/fight-details/ce4314886c57718b,0,13,38,14,39,0,1,0,0,0,3,25,3,3,7,10,10,35,3,3,0,0,0,6,16,13,23,0,0,0,0,0,3,25,3,3,7,10,10,35,3,3,0,0,0,13,38,14,39,0,1,0,0,0,3,12,2,3,1,1,6,16,0,0,0,0,0,11,30,12,31,0,0,0,0,0,9,30,3,8,7,10,17,45,2,3,0,0,0,19,48,19,48,0,1,0,0,0,7,23,1,3,3,4,11,30,0,0,0,0,0,28,54,29,55,0,0,0,0,0,12,80,9,10,7,10,23,94,5,6,0,0,0,28,100,29,101,1,2,0,0,0,20,44,7,9,1,1,27,51,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,"Niko Price ""The Hybrid""","George Sullivan ""The Silencer""",2,4:21,"Niko Price ""The Hybrid""",2018-01-27,http://ufcstats.com/fight-details/4fcbee643660d679,0,10,22,10,24,1,4,2,1,1,2,13,4,5,4,4,5,14,4,7,1,1,0,7,31,19,44,0,5,0,0,0,2,13,4,5,4,4,5,14,4,7,1,1,0,10,22,10,24,1,4,2,1,1,3,25,2,3,2,3,4,27,3,4,0,0,0,14,30,23,44,1,1,0,0,0,11,21,3,4,0,0,6,13,3,6,5,6,0,14,25,25,43,1,1,1,2,0,12,28,1,1,1,1,3,10,1,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,"Austin Arnett ""Golden Boy""",Cory Sandhagen,2,3:48,"Austin Arnett ""Golden Boy""",2018-01-27,http://ufcstats.com/fight-details/fa7cde1e2d3ae338,0,23,63,26,67,0,0,0,0,0,20,59,3,4,0,0,22,58,1,5,0,0,0,48,86,61,101,1,1,0,0,0,20,59,3,4,0,0,22,58,1,5,0,0,0,23,63,26,67,0,0,0,0,0,26,60,16,19,6,7,30,60,8,13,10,13,1,32,61,47,78,0,0,0,1,1,9,25,0,2,0,0,9,26,0,1,0,0,0,9,27,9,28,1,1,0,1,0,21,44,7,13,4,4,15,30,12,20,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Stipe Miocic,"Francis Ngannou ""The Predator""",5,5:00,Stipe Miocic,2018-01-20,http://ufcstats.com/fight-details/8238f9d2fd961757,0,16,25,24,33,2,5,0,1,0,13,22,2,2,1,1,12,19,2,2,2,4,0,15,62,18,65,0,0,0,0,0,13,22,2,2,1,1,12,19,2,2,2,4,0,16,25,24,33,2,5,0,1,0,14,61,1,1,0,0,13,55,2,7,0,0,0,4,27,4,27,0,0,0,0,0,7,13,4,5,6,6,14,20,0,0,3,4,0,17,24,29,37,2,3,0,0,0,2,23,2,4,0,0,4,27,0,0,0,0,0,1,8,7,14,0,1,0,0,0,8,12,0,0,4,4,4,5,2,2,6,9,0,12,16,47,58,1,3,0,1,0,1,8,0,0,0,0,1,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,15,18,2,2,1,1,1,1,0,0,17,20,0,18,21,82,95,1,1,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,13,4,17,0,0,1,0,0,2,2,1,2,4,5,6,7,1,2,0,0
502,"Daniel Cormier ""DC""","Volkan Oezdemir ""No Time""",2,2:00,"Daniel Cormier ""DC""",2018-01-20,http://ufcstats.com/fight-details/9f96d11017f9c824,0,27,54,29,56,1,2,1,1,0,25,52,1,1,1,1,22,43,3,8,2,3,0,37,79,41,83,0,0,0,0,0,25,52,1,1,1,1,22,43,3,8,2,3,0,27,54,29,56,1,2,1,1,0,22,60,11,15,4,4,32,67,5,12,0,0,0,1,3,1,3,0,0,0,0,0,5,7,0,0,0,0,2,3,0,0,3,4,0,5,7,55,57,1,1,0,2,0,1,3,0,0,0,0,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,"Calvin Kattar ""The Boston Finisher""","Shane Burgos ""Hurricane""",3,0:32,"Calvin Kattar ""The Boston Finisher""",2018-01-20,http://ufcstats.com/fight-details/5f617d6c19d3a281,0,40,76,40,76,0,0,0,0,0,32,66,4,5,4,5,40,76,0,0,0,0,0,33,78,33,78,0,0,0,0,0,32,66,4,5,4,5,40,76,0,0,0,0,0,40,76,40,76,0,0,0,0,0,21,61,8,12,4,5,33,78,0,0,0,0,0,55,101,57,103,0,0,0,0,0,31,84,1,5,3,5,34,92,1,2,0,0,0,35,94,36,95,0,1,0,0,0,25,60,17,25,13,16,52,97,3,4,0,0,0,1,7,1,7,0,0,0,0,0,10,24,0,0,0,0,5,14,0,0,5,10,1,10,24,10,24,0,0,0,0,0,0,5,0,1,1,1,1,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Gian Villante,"Francimar Barroso ""Bodao""",3,5:00,Gian Villante,2018-01-20,http://ufcstats.com/fight-details/5cf56c22cbc24758,0,15,50,15,50,0,0,0,0,0,12,45,1,1,2,4,15,50,0,0,0,0,0,21,26,21,26,0,0,0,0,0,12,45,1,1,2,4,15,50,0,0,0,0,0,15,50,15,50,0,0,0,0,0,9,11,5,8,7,7,21,26,0,0,0,0,0,26,57,26,57,0,0,0,0,0,26,69,5,6,4,4,35,78,0,1,0,0,0,35,79,35,79,0,0,0,0,0,13,41,7,10,6,6,26,56,0,1,0,0,0,27,45,27,45,0,0,0,0,0,19,70,5,10,0,0,24,80,0,0,0,0,0,24,80,24,80,0,0,0,0,0,16,34,6,6,5,5,27,45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,"Thomas Almeida ""Thominhas""",Rob Font,2,2:24,"Thomas Almeida ""Thominhas""",2018-01-20,http://ufcstats.com/fight-details/889207e3c622a5aa,0,15,64,15,65,0,0,0,0,0,8,50,0,4,7,10,15,64,0,0,0,0,0,18,79,23,84,0,1,0,0,0,8,50,0,4,7,10,15,64,0,0,0,0,0,15,64,15,65,0,0,0,0,0,16,71,0,5,2,3,16,76,2,3,0,0,2,23,53,25,55,1,2,0,0,0,3,16,2,4,4,6,9,25,0,1,0,0,0,9,26,9,27,0,0,0,0,0,19,49,4,4,0,0,10,35,9,12,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,"Kyle Bochniak ""Crash""","Brandon Davis ""Killer B""",3,5:00,"Kyle Bochniak ""Crash""",2018-01-20,http://ufcstats.com/fight-details/ea66be2688f542be,0,7,16,8,17,2,6,0,0,0,5,11,2,5,0,0,6,15,1,1,0,0,0,7,20,17,30,0,0,0,0,0,5,11,2,5,0,0,6,15,1,1,0,0,0,7,16,8,17,2,6,0,0,0,1,14,3,3,3,3,6,19,1,1,0,0,0,19,46,21,48,0,0,0,0,0,13,54,0,5,0,0,10,50,3,9,0,0,0,13,59,13,59,0,3,0,0,0,9,33,3,5,7,8,18,43,1,3,0,0,0,12,46,21,55,1,1,0,0,0,11,52,2,5,0,0,10,53,3,4,0,0,0,13,57,14,58,1,6,0,0,0,9,40,1,3,2,3,11,44,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,"Sabah Homasi ""The Problem""",Abdul Razak Alhassan,1,3:47,"Sabah Homasi ""The Problem""",2018-01-20,http://ufcstats.com/fight-details/f91709b071e8295a,0,8,25,9,26,1,2,0,0,0,3,19,5,6,0,0,4,20,4,5,0,0,1,13,33,20,42,0,0,0,0,0,3,19,5,6,0,0,4,20,4,5,0,0,0,8,25,9,26,1,2,0,0,0,11,29,0,1,2,3,11,28,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Dustin Ortiz,"Alexandre Pantoja ""The Cannibal""",3,5:00,Dustin Ortiz,2018-01-20,http://ufcstats.com/fight-details/0990ac7065412e76,0,2,9,20,32,1,1,0,1,1,1,7,1,1,0,1,0,6,0,1,2,2,0,6,9,28,31,0,0,2,2,1,1,7,1,1,0,1,0,6,0,1,2,2,0,2,9,20,32,1,1,0,1,1,4,7,2,2,0,0,2,5,1,1,3,3,0,11,34,16,39,0,0,0,0,0,13,40,4,6,6,7,16,44,5,6,2,3,0,23,53,32,62,4,8,0,0,0,7,28,2,3,2,3,11,33,0,1,0,0,0,2,6,5,9,1,1,0,2,1,5,12,3,3,3,3,5,10,1,1,5,7,0,11,18,40,53,2,3,0,0,1,2,6,0,0,0,0,2,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,"Dan Ige ""Dynamite""",Julio Arce,3,5:00,"Dan Ige ""Dynamite""",2018-01-20,http://ufcstats.com/fight-details/50385add37239184,0,5,30,5,31,1,6,0,0,0,0,20,2,6,3,4,4,26,1,4,0,0,0,23,55,23,55,0,0,0,0,0,0,20,2,6,3,4,4,26,1,4,0,0,0,5,30,5,31,1,6,0,0,0,18,50,4,4,1,1,17,46,4,7,2,2,0,20,63,33,76,0,0,0,0,0,8,28,1,4,4,6,13,35,0,3,0,0,0,13,38,14,40,0,5,0,0,0,17,59,3,4,0,0,18,60,2,3,0,0,0,29,83,31,85,0,0,0,0,0,7,30,3,7,7,8,16,41,1,4,0,0,0,17,45,17,45,0,2,0,0,0,25,75,4,8,0,0,26,78,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,"Matt Bessette ""The Mangler""","Enrique Barzola ""El Fuerte""",3,5:00,"Matt Bessette ""The Mangler""",2018-01-20,http://ufcstats.com/fight-details/1b0fa021b1158121,0,11,52,12,53,0,0,0,0,0,7,37,4,14,0,1,10,51,1,1,0,0,0,15,34,16,36,1,2,0,0,0,7,37,4,14,0,1,10,51,1,1,0,0,0,11,52,12,53,0,0,0,0,0,3,19,7,8,5,7,13,28,0,0,2,6,0,17,31,25,39,3,5,0,0,0,3,25,5,7,1,1,8,32,1,1,0,0,0,9,33,15,39,0,0,0,0,0,7,18,4,7,6,6,9,17,0,0,8,14,0,23,57,32,68,1,3,0,0,0,17,51,6,10,0,0,23,60,0,1,0,0,0,23,61,28,66,0,0,0,0,0,15,46,2,2,6,9,21,53,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
